"Site Name","Site Code","Voltage (kV)","Demand Tariff Zone","Generation Tariff Zone","LV Shunt Susceptance"
Aberthaw,ABTH,275,10,15,0
Aberthaw,ABTH,132,10,15,28.8
Abham,ABHA,400,14,20,0
Abham,ABHA,132,14,20,8.45
"AES Barry",AESB,132,10,15,0
Aldwarke,ALDW,275,5,13,0
Aldwarke,ALDW,33,5,13,2
Alverdiscott,ALVE,400,14,20,0
Axminster,AXMI,400,14,19,0
Axminster,AXMI,132,14,19,16
"Baglan Bay",BAGB,275,10,15,0
Barking,BARK,400,11,17,0
Barking,BARK,275,11,17,0
Barking,BARK,132,11,17,49
Barking,BARK,33,11,17,0
Barry,BARY,132,10,15,0
Beddington,BEDD,400,11,16,0
Beddington,BEDD,275,11,16,0
Beddington,BEDD,132,11,16,21.62
Berkswell,BESW,275,7,14,0
Berkswell,BESW,132,7,14,0
"Bicker Fen",BICF,400,7,13,0
"Bicker Fen",BICF,132,7,13,0
Birkenhead,BIRK,275,6,13,0
"Bishops Wood",BISW,275,8,14,0
Blyth,BLYT,400,3,10,0
Blyth,BLYT,275,3,10,3
Bolney,BOLN,400,11,18,0
Bolney,BOLN,132,11,18,0
"Botley Wood",BOTW,400,13,18,0
"Bradford West",BRAW,400,5,9,0
"Bradford West",BRAW,275,5,9,0
Bradwell,BRWE,132,9,17,0
Bramford,BRFO,400,9,14,0
Bramley,BRLE,400,13,18,0
Bredbury,BRED,275,4,13,0
Bridgwater,BRWA,275,14,19,0
Brimsdown,BRIM,275,11,17,0
Brimsdown,BRIM,132,11,17,32.59
Brinsworth,BRIN,400,5,13,0
Brinsworth,BRIN,275,5,13,0
Burwell,BURW,400,9,14,0
Bushbury,BUSH,275,8,14,0
Bustleholm,BUST,275,8,14,0
Canterbury,CANT,400,11,17,0
Capenhurst,CAPE,400,6,13,0
Capenhurst,CAPE,275,6,13,0
Capenhurst,CAPE,132,6,13,15
Capenhurst,CAPE,11,6,13,0
"Cardiff East",CARE,275,10,15,0
Carrington,CARR,400,4,13,0
Carrington,CARR,275,4,13,0
Carrington,CARR,132,4,13,2.6
Cellarhead,CELL,400,8,14,0
Cellarhead,CELL,132,8,14,140.06
Chessington,CHSI,275,11,16,0
Chessington,CHSI,132,11,16,0
Chesterfield,CHTE,275,7,13,0
Chickerell,CHIC,400,13,19,0
Cilfynydd,CILF,400,10,15,0
Cilfynydd,CILF,275,10,15,0
"City Road",CITR,400,12,16,0
"City Road North",CITN,400,12,16,0
"Connah's Quay",CONQ,132,6,13,18
"Coryton South",COSO,400,9,17,0
Cottam,COTT,400,7,13,0
Coventry,COVE,275,7,14,0
Cowbridge,COWB,275,10,15,0
Cowley,COWL,400,13,18,0
"Creyke Beck",CREB,400,5,9,0
"Creyke Beck",CREB,275,5,9,0
"Culham Jet",CULJ,400,13,18,0
Daines,DAIN,400,4,13,0
Daines,DAIN,275,4,13,0
"Damhead Creek",DAMC,400,11,17,0
Deeside,DEES,400,6,13,0
Didcot,DIDC,400,13,18,0
Dinorwig,DINO,400,6,12,0
Drakelow,DRAK,400,7,14,0
Drakelow,DRAK,275,7,14,0
Drakelow,DRAK,132,7,14,2.28
Drax,DRAX,400,5,9,0
Drax,DRAX,132,5,9,9
Dungeness,DUNG,400,11,17,0
Dungeness,DUNG,275,11,17,0
Ealing,EALI,275,13,16,0
"East Claydon",ECLA,400,8,14,0
"East Claydon",ECLA,132,8,14,49.69
"Eaton Socon",EASO,400,9,14,0
Eggborough,EGGB,400,5,9,0
Elland,ELLA,275,5,9,0
Elland,ELLA,132,5,9,14.61
Elstree,ELST,400,9,18,0
Elstree,ELST,275,9,18,0
Elstree,ELST,132,9,18,41
Enderby,ENDE,400,7,14,0
Exeter,EXET,400,14,19,0
Fawley,FAWL,400,13,19,0
Fawley,FAWL,132,13,19,109
Feckenham,FECK,400,8,14,0
Feckenham,FECK,275,8,14,0
Feckenham,FECK,66,5,9,0
Ferrybridge,FERR,400,5,9,0
Ferrybridge,FERR,275,5,9,0
Ferrybridge,FERR,132,5,9,20
"Ferrybridge Eastern Cable Compound",FERE,400,5,9,0
"Ferrybridge Western Cable Compound",FERW,400,5,9,0
Ffestiniog,FFES,275,6,13,0
"Fiddler's Ferry",FIDF,275,6,9,0
FLEET,FLEE,400,13,18,0
Fourstones,FOUR,275,3,10,0
Frodsham,FROD,400,6,13,0
Frodsham,FROD,275,6,13,0
Glouchester,GLOU,132,8,15,31.15
Grain,GRAI,400,11,17,0
"Grain LNG terminal",GTLN,400,11,17,0
Grangetown,GRTO,275,3,10,0
Grendon,GREN,400,7,14,0
Grendon,GREN,132,7,14,27
Greystones,GRST,275,3,10,0
