"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
HURS1B,ELTH11,6.7,0,OHL,0.338,0.75,0.68,200,,,
IROA11,OLDS12,13.684,0,OHL,0.297,2.361,2.693,455,425,365,370
IROA11,OLDS12,12.904,0,OHL,0.28,2.224,2.643,455,425,365,370
IROA12,OLDS11,13.829,0,OHL,0.298,2.366,3.453,455,425,365,370
IROA12,OLDS11,12.904,0,OHL,0.28,2.224,2.643,455,425,365,370
RAYL11,BRWE10,37,0,OHL,0.821,6.563,2.84,275,275,275,275
RAYL13,BRWE10,37,0,OHL,0.82,6.559,2.38,275,275,275,275
WYLF11,PERH10,17.55,4.62,COMPOSITE,0.435,3.177,17.772,330,330,300,300
WYLF11,PERH10,17.55,4.62,COMPOSITE,0.435,3.172,17.61,330,330,300,300
BARK21,BARP21,0,0,"GEN CONN",0.0104,0.1112,4.53,705,705,705,705
BARK22,BARP22,0,0,"GEN CONN",0.0104,0.1112,4.53,705,705,705,705
EASO40,LITB40,0,0,"GEN CONN",0.0024,0.0315,49.59,1100,1100,1100,1100
GRAI40,MEDW40,0,0,"GEN CONN",0.0053,0.049,1.44,1710,1710,1710,1710
KEAD41,KEAP41,0,0,"GEN CONN",0.0012,0.014,7.17,1100,1100,1100,1100
KEAD42,KEAP42,0,0,"GEN CONN",0.0009,0.0078,0.23,1710,1710,1710,1710
ABHA4A,EXET40,48.88,0,OHL,0.1046032,0.982488,27.465672,1390,1280,1110,1280
ABHA4A,LANG40,24.63,0,OHL,0.052657,0.493911,13.873005,1390,1280,1110,1280
ABHA4B,EXET40,49.15,0,OHL,0.105181,0.987915,27.617385,1390,1280,1110,1280
ABHA4B,LANG40,24.63,0,OHL,0.052657,0.493911,13.873005,1390,1280,1110,1280
ABTH20,COWB2A,11.99,0,OHL,0.044363,0.4746841,3.445926,1350,1290,1180,1290
ABTH20,PYLE20,34.57,0,OHL,0.1769076,1.3982061,9.725424,1140,1140,1140,1140
ABTH20,TREM20,47.009,0,OHL,0.2562133,2.0880117,12.2597966,625,590,535,590
ABTH20,UPPB21,27.364,0.547,COMPOSITE,0.1240679,1.1289761,13.5448728,770,595,595,770
ABTH20,UPPB22,27.839,0,OHL,0.1252755,1.1330473,7.7308903,955,885,760,885
ALDW20,BRIN21,17.903,0,OHL,0.1433109,0.727325,4.9676862,625,590,535,590
ALDW20,WMEL20,9.08,0,OHL,0.0410416,0.37682,2.46976,955,880,760,880
ALVE4A,INDQ40,97.543,0,OHL,0.20874202,1.9606143,54.8094117,1390,1280,1110,1280
ALVE4A,TAUN4A,72.867,0,OHL,0.15593538,1.4646267,40.9439673,1390,1280,1110,1280
ALVE4B,INDQ40,97.543,0,OHL,0.20874202,1.9606143,54.8094117,1390,1280,1110,1280
ALVE4B,TAUN4B,72.867,0,OHL,0.15593538,1.4646267,40.9439673,1390,1280,1110,1280
AMEM4A,ECLA40,35.746,0,OHL,0.06219804,0.6648756,21.8872758,2010,1910,1750,1910
AMEM4A,IVER4A,20.302,0,OHL,0.03532548,0.3776172,12.4309146,2010,1910,1750,1910
AMEM4B,ECLA40,35.746,0,OHL,0.0750666,0.6863232,21.018648,1390,1280,1110,1280
AMEM4B,IVER4B,20.302,0,OHL,0.0426342,0.3897984,11.937576,1390,1280,1110,1280
AXMI40,CHIC42,39.697,0,OHL,0.04247579,0.5996587,29.6547105,2780,2570,2220,2570
AXMI40,EXET40,36.315,0,OHL,0.03885705,0.602829,24.6106755,2780,2570,2220,2570
BAGB20,MAGA20,12.26,0.5,COMPOSITE,0.05609,0.510932,8.748902,860,860,755,860
BAGB20,SWAN20,18.69,0.5,COMPOSITE,0.085025,0.772633,10.534513,860,860,755,860
BARK21,BARK40,0,0,TRANSFORMER,0.023,2.67,0.409,750,750,750,750
BARK21,REBR21,11.089,0,OHL,0.0410293,0.4357977,3.2091566,1260,1210,1110,1210
BARK21,WTHU2A,16.322,0.119,COMPOSITE,0.07373324,0.6697607,5.785958,1180,1020,920,1020
BARK22,BARK40,0,0,TRANSFORMER,0.023,2.67,0.409,750,750,750,750
BARK22,REBR22,11.089,0,OHL,0.0410293,0.4357977,3.2091566,1210,1130,1040,1130
BARK22,WTHU2B,16.265,0,OHL,0.07326254,0.6647871,4.4968291,1180,1120,1020,1120
BARK40,NFLE40,23.491,0,OHL,0.04087434,0.4378362,14.3528169,2010,1910,1750,1910
BARK40,NFLE40,23.291,0,OHL,0.04052634,0.4341162,14.2303569,2010,1910,1750,1910
BARK40,WHAM40,9.742,0,OHL,0.01695108,0.185098,5.8325354,2010,1910,1750,1910
BARK40,WHAM40,9.866,0,COMPOSITE,0.01700068,0.185594,10.6437354,2010,1910,1750,1910
BEDD21,BEDD4A,0,0,TRANSFORMER,0.021,2.593,-0.3,720,720,720,720
BEDD21,BEDD4B,0,0,TRANSFORMER,0.022,2.6159,-0.491,750,750,750,750
BEDD21,CHSI20,18.299,0.137,COMPOSITE,0.0826195,0.7479066,6.4694423,760,760,760,760
BEDD21,WIMB2M,8.5,0.582,COMPOSITE,0.0394676,0.3657286,8.5394,995,930,730,805
BEDD22,BEDD4A,0,0,TRANSFORMER,0.021,2.6079,-0.491,750,750,750,750
BEDD22,CHSI20,18.299,0.286,COMPOSITE,0.0829007,0.7515987,8.0202523,945,835,760,885
BEDD22,WIMB20,8.498,0.968,COMPOSITE,0.04049216,0.3750278,11.763976,860,825,625,695
BEDD4A,ROWD40,0,11.012,CABLE,0.0099108,0.0902984,198.216,1410,1370,1370,1410
BESW20,COVE20,18.676,0,OHL,0.084042,0.7601132,5.1863252,955,885,760,885
BESW20,COVE20,19.14,0,OHL,0.08532136,0.7769764,5.3305566,955,955,955,955
BESW20,FECK20,36.026,0,OHL,0.1398298,1.4272556,10.3303705,955,885,760,885
BESW20,HAMH20,23.661,0.377,COMPOSITE,0.0947682,0.9519134,10.8492275,820,640,640,820
BICF4B,KEAD41,92.209,0,OHL,0.092,1.6168,67.47,2780,2570,2220,2570
BICF4B,SPLN40,19.21,0,OHL,0.0167,0.315,13.28,3820,3630,3320,3630
BICF4A,WALP40,38.71,0,OHL,0.0335,0.627,25.93,2860,2720,2480,2720
BICF4A,WBUR40,65,0,OHL,0.0572,1.0786,45.5,3820,3630,3320,3630
BIRK20,CAPE21,15.619,0,OHL,0.07059788,0.6653694,4.1484064,955,880,760,880
BIRK20,CAPE21,15.527,0,OHL,0.07018204,0.6614502,4.1239712,955,880,760,880
BIRK20,LISD2A,0,12.891,CABLE,0.0270711,0.2977821,125.0427,831,783,750,831
BISW20,FECK20,22.896,0,OHL,0.091848,0.9122952,6.5217852,955,885,760,885
BISW20,KITW20,24.291,0,OHL,0.1093095,0.9886437,6.7456107,955,885,760,885
BISW20,KITW20,27.282,0,OHL,0.122769,1.1103774,7.5762114,955,885,760,885
BISW20,PENN20,30.306,0.118,COMPOSITE,0.1209328,1.209368,9.9274414,1040,760,760,1030
BLYT21,STEW20,27.411,0,OHL,0.1480194,1.3787733,6.2826012,680,630,540,630
BLYT21,STEW2A,34.031,0.558,COMPOSITE,0.16131071,1.4025269,14.7976455,760,760,620,760
BLYT21,TYNE20,16.684,0,OHL,0.0717412,0.6823756,4.6364836,1240,1180,1070,1180
BLYT22,FOUR20,47.672,0.121,COMPOSITE,0.2404172,1.9473763,14.5612844,855,795,700,795
BLYT22,STEW20,27.411,0,OHL,0.1480194,1.3787733,6.2826012,680,630,540,630
BLYT22,TYNE2A,16.769,0,OHL,0.0721067,0.6858521,4.6601051,1240,1180,1070,1180
BOLN40,LOVE40,64.924,0,OHL,0.06946868,1.0777384,43.9989948,2780,2570,2220,2570
BOLN40,LOVE40,64.924,0,OHL,0.06946868,1.0777384,43.9989948,2780,2570,2220,2570
BOLN40,NINF40,51.412,0,OHL,0.05501084,0.8534392,34.8419124,2780,2570,2220,2570
BOLN40,NINF40,51.412,0,OHL,0.05501084,0.8534392,34.8419124,2780,2570,2220,2570
BOTW40,FAWL40,7.8,3.57,COMPOSITE,0.011916,0.151971,59.83566,1110,900,900,1110
BOTW40,LOVE40,14.8,0,OHL,0.015836,0.24568,10.02996,2780,2570,2220,2570
BRAI4A,BRFO40,48.087,0,OHL,0.05145309,0.7982442,32.5885599,2780,2570,2220,2570
BRAI4A,RAYL40,33.191,0,OHL,0.03551437,0.5509706,22.4935407,2780,2570,2220,2570
BRAI4B,PELH40,65.614,0,OHL,0.07020698,1.0891924,44.4666078,2780,2570,2220,2570
BRAI4B,RAYL40,33.191,0,OHL,0.03551437,0.5509706,22.4935407,2780,2570,2220,2570
BRAW20,BRAW4A,0,0,TRANSFORMER,0.0175,1.5879,-0.4936,1000,1000,1000,1000
