"Node 1","Node 2","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Rating (MVA)"
ABHA11,ABHA4A,0.1628,8.4151,-0.692,240
ABHA12,ABHA4B,0.1615,8.3526,-0.8112,240
ABTH11,ABTH20,0.1646,8.0539,-0.8073,180
ABTH12,ABTH20,0.0977,8.1994,-0.1149,180
ABTH12,ABTH20,0.1354,8.3322,-0.251,240
ALDW20,ALDW31,0.656,25.925,-0.5349,75
ALDW20,ALDW31,0.6613,26.0583,-0.491,120
ALDW20,ALDW32,0.7076,26.6573,-0.337,98
ALDW20,ALDW32,0.4848,24.6619,-0.1236,120
ALDW20,ALDW32,0.4398,24.8294,-0.5684,120
ALVE10,ALVE4A,0.1118,8.3784,-0.2318,240
ALVE10,ALVE4B,0.1621,8.0817,-0.2749,240
AMEM10,AMEM4A,0.1494,8.332,-0.4887,240
AMEM10,AMEM4B,0.1494,8.332,-0.5822,240
AXMI10,AXMI40,0.148,7.7444,-0.7959,240
AXMI10,AXMI40,0.149,7.6986,-0.8129,240
BARK10,BARK21,0.1264,8.6657,-0.0748,240
BARK10,BARK21,0.1247,8.6658,-0.0829,240
BARK1M,BARK22,0.1843,8.109,-0.3753,180
BARK1N,BARK22,0.187,8.109,-0.3776,180
BARK21,BARW31,0.6343,29.8633,-0.4602,100
BARK21,BARW32,0.6276,29.6734,-0.4416,100
BARK22,BARW31,0.618,29.2635,-0.4356,100
BARK22,BARW32,0.629,29.6433,-0.4572,100
BEDD11,BEDD21,0.166,7.983,-0.6151,240
BEDD11,BEDD22,0.166,8.05,-0.6045,240
BEDD12,BEDD21,0.168,7.979,-0.5807,240
BEDD12,BEDD22,0.165,8.042,-0.4979,240
BEDD1A,BEDD22,0.3129,13.0462,-1.4695,120
BEDD1B,BEDD21,0.3063,13.0214,-1.7556,120
BESW10,BESW20,0.1682,8.54,-0.251,240
BESW10,BESW20,0.186,8.33,-0.251,240
BESW10,BESW20,0.1385,8.5405,-0.409,240
BICF10,BICF4A,0.1389,7.9154,-0.317,240
BICF10,BICF4B,0.1389,7.9154,-0.317,240
BIRK10,BIRK20,0.186,8.71,-0.251,240
BIRK10,BIRK20,0.186,8.71,-0.251,240
BIRK10,BIRK20,0.186,8.75,-0.8106,240
BISW10,BISW20,0.1623,8.1109,-0.3609,240
BISW10,BISW20,0.1639,8.0567,-0.696,240
BISW10,BISW20,0.1591,8.0234,-0.5638,240
BISW10,BISW20,0.0935,8.737,-0.1882,240
BLYT1A,BLYT21,0.1666,8.3733,-0.2607,240
