"Site Name","Site Code","Voltage (kV)","Demand Tariff Zone","Generation Tariff Zone","LV Shunt Susceptance"
"Akron Wind",AKRW,33,1,1,0
"Ark Hill Wind",ARHW,33,1,4,0
"Ark Hill Wind",ARHW,132,1,4,0
"Ballindalloch Muir Wind",BAMW,33,1,5,0
"Beinn an Tuirc",BTUI,33,1,5,0
"Beinn an Tuirc 2",BTU2,33,1,5,0
"Beinn Tharsuinn",BETH,33,1,1,0
"Ben Aketil",BENA,33,1,3,0
Boyndie,BOYN,33,1,1,0
"Braes of Doune Wind",BRDU,33,1,4,0
"Calliachar Wind",CALI,275,1,4,0
"Camster Windfarm",CAMW,33,1,1,0
Cashlie,CASH,33,1,4,0
Causeymire,CAUS,33,1,1,0
"Deucherin Hill",DEUC,33,1,5,0
Inverawe,INAW,33,1,5,0
"Loch Nant",NANT,132,1,5,0
Novar,NOVA,33,1,5,0
Shira,SHRA,33,1,5,0
"Stoneywood Mills",STOM,33,1,1,0
Tangy,TANG,33,1,5,0
"Western Isles HVDC",WEST,400,1,3,0
Abernethy,ABNE,33,1,4,0
Abernethy,ABNE,132,1,4,0
Aigas,AIGA,132,1,1,0
Alness,ALNE,33,1,1,0
Alness,ALNE,132,1,1,0
Arbroath,ARBR,33,1,4,0
Arbroath,ARBR,132,1,4,0
Ardkinglas,ARDK,33,1,5,0
Ardkinglas,ARDK,132,1,5,0
Ardmore,ARMO,33,1,3,0
Ardmore,ARMO,132,1,3,0
Ardross,ARDR,275,2,7,0
"Aultmore Wind",AULW,33,1,1,0
"Aultmore Wind",AULW,132,1,1,0
Beauly,BEAU,33,1,1,0
Beauly,BEAU,132,1,1,0
Beauly,BEAU,275,1,1,0
Beauly,BEAU,400,1,1,0
Birkhill,BIHI,132,1,4,0
Blackhillock,BLHI,275,1,1,0
Blackhillock,BLHI,275,1,1,0
"Boat of Garten",BOAG,33,1,1,0
"Boat of Garten",BOAG,132,1,1,0
"Bonnybridge Boundary",BONB,275,1,5,0
"Bonnybridge Boundary",BONB,400,1,5,0
Braco,BRAC,33,1,6,0
Braco,BRAC,275,1,6,0
Brechin,BREC,132,1,4,0
"Bridge of Dun",BRID,33,1,4,0
"Bridge of Dun",BRID,33,1,4,0
"Bridge of Dun",BRID,132,1,4,0
Broadford,BROA,33,1,3,0
Broadford,BROA,132,1,3,0
Brora,BROR,33,1,1,0
Brora,BROR,132,1,1,0
Burghmuir,BUMU,33,1,4,0
Burghmuir,BUMU,132,1,4,0
"Carn Kitty",CAKW,33,1,1,0
"Carn Kitty",CAKW,275,1,1,0
"Carolina Port",CARP,132,1,4,0
Carradale,CAAD,33,1,5,0
Carradale,CAAD,132,1,5,0
Cashley,CASS,33,1,4,0
Cashley,CASS,132,1,4,0
Ceannacroc,CEAN,33,1,3,0
Ceannacroc,CEAN,132,1,3,0
Charleston,CHAR,33,1,4,0
Charleston,CHAR,132,1,4,0
Clachan,CLAC,33,1,5,0
Clachan,CLAC,132,1,5,0
"Clashindarroch Wind",CLAS,33,1,1,0
"Clashindarroch Wind",CLAS,275,1,1,0
Clayhills,CLAY,33,1,1,0
Clayhills,CLAY,132,1,1,0
Clunie,CLUN,132,1,4,0
"Coupar Angus",COUA,33,1,4,0
"Coupar Angus",COUA,33,1,4,0
"Coupar Angus",COUA,132,1,4,0
"Coupar Angus",COUA,275,1,4,0
Craigiebuckler,CRAI,33,1,1,0
Craigiebuckler,CRAI,132,1,1,0
Culligran,CULL,132,1,1,0
Dallas,DAAS,33,1,1,0
Dallas,DAAS,275,1,1,0
Deanie,DEAN,132,1,1,0
Denside,DENS,132,1,4,0
Dounreay,DOUN,33,1,1,0
Dounreay,DOUN,132,1,1,0
Dounreay,DOUN,275,1,1,0
Dudhope,DUDH,33,1,4,0
Dudhope,DUDH,132,1,4,0
Dunbeath,DUBE,33,1,1,0
Dunbeath,DUBE,132,1,1,0
Dunoon,DUNO,33,1,5,0
Dunoon,DUNO,132,1,5,0
Dunvegan,DUGR,33,1,3,0
Dunvegan,DUGR,132,1,3,0
Dyce,DYCE,33,1,1,0
Dyce,DYCE,132,1,1,0
Edinbane,EDIN,33,1,3,0
Edinbane,EDIN,132,1,3,0
Elgin,ELGI,33,1,1,0
Elgin,ELGI,132,1,1,0
Eredine,ERED,33,1,5,0
Eredine,ERED,132,1,5,0
Errochty,ERRO,132,1,4,0
Errochty,ERRO,132,1,4,0
Errochty,ERRO,275,1,4,0
Errochty,ERRO,400,1,4,0
Fairwind,FAIW,33,9,17,0
"Farr Windfarm",FAAR,33,1,1,0
"Farr Windfarm",FAAR,132,1,1,0
Fasnakyle,FASN,33,1,3,0
Fasnakyle,FASN,275,1,3,0
