"Transmission Area","Voltage (in kV)","Rating (in MVA)","Reactance (% on Rating Base)",TappingLimit
NGET,1.45454545454545,1000,16,Non-Tapped
NGET,1.45454545454545,750,20,Non-Tapped
NGET,1.45454545454545,750,12,Non-Tapped
NGET,1.45454545454545,500,12,Non-Tapped
NGET,3.03030303030303,240,20,"+15% to -5%"
NGET,4.16666666666667,180,20,"+15% to -15%"
NGET,4.16666666666667,120,20,"+15% to -15%"
NGET,8.33333333333333,120,24-36,"+10% to -20%"
NGET,8.33333333333333,100,20-30,"+10% to -20%"
NGET,2.08333333333333,240,20,"+15% to -15%"
NGET,2.08333333333333,180,15,"+15% to -15%"
NGET,2.08333333333333,120,15,"+15% to -15%"
SHETL,2.08333333333333,240,21.6,"+18% to -13%"
SHETL,4,60,16.2,"+10% to -20%"
SHETL,12,30,15,"+10% to -20%"
SPT,1.45454545454545,1000,16,Fixed
SPT,3.03030303030303,240,19.9,"+15% to -15%"
SPT,8.33333333333333,120,24,"+10% to -20%"
SPT,2.08333333333333,240,20.4,"+15% to -15%"
SPT,4,60,15,"+10% to -20%"
SPT,12,30,23.7,"+10% to -10%"
