Busbar,"Customer Name","Power Factor at NG Peak","Local Peak Demand","Demand at NG Peak","Embedded Generation at NG Peak","DCLF Node"
LYNE70,Alcan,1,325,325,0,BLYT20
WYLF10,"Anglesey Aluminium",0.98,263,263,0,"Station Load"
TEMP30,BOC,0.98,10,8,0,TEMP20
DUNG20,"British Energy",0.79,14,14,0,"Station Load"
EGGB41,"British Energy",0.9,40,17,0,"Station Load"
HEYS10,"British Energy",0.79,115,61,0,"Station Load"
HINP21,"British Energy",0.76,47.5,12,0,"Station Load"
HINP22,"British Energy",0.76,47.5,12,0,"Station Load"
SIZE40,"British Energy",0.8,4,4,0,"Station Load"
TREM30,Celsa,0.85,95,0,0,TREM20
BESW10,"Central Networks East (EMEB)",0.97,398.1,398.1,2,BESW20
BICF10,"Central Networks East (EMEB)",0.96,189.4,180,58,"BICF4A /BICF4B"
CHTE10,"Central Networks East (EMEB)",0.95,588,561.1,10.6,CHTE20
COVE10,"Central Networks East (EMEB)",0.93,578.1,578.1,10,COVE20
DRAK10,"Central Networks East (EMEB)",0.95,201.2,201.2,2,DRAK20
ECLA10,"Central Networks East (EMEB)",0.9,397.3,397.3,3,ECLA40_EME
ENDE10,"Central Networks East (EMEB)",0.95,535.6,530.4,4,ENDE40
GREN10,"Central Networks East (EMEB)",0.93,722.3,722.3,27.6,GREN40_EME
HAMH12,"Central Networks East (EMEB)",0.96,0,0,0,HAMH40_EME
LEAM10,"Central Networks East (EMEB)",0.96,132.1,132.1,1,HAMH40_EME
RATS10,"Central Networks East (EMEB)",0.94,686.3,669.5,3,RATS40
SBAR40,"Central Networks East (EMEB)",0.96,0,0,0,SBAR40
STYC10,"Central Networks East (EMEB)",0.93,186,186,2,STAY40
WALP10,"Central Networks East (EMEB)",0.89,273.5,258.2,2,WALP40_EME
WBUR10,"Central Networks East (EMEB)",0.95,285.5,284.8,4,WBUR40
WILL10,"Central Networks East (EMEB)",0.96,614,608.7,2,WILE20
BISW10,"Central Networks West (Aquila)",0.97,483.6,477.2,0,BISW20
BUSH10,"Central Networks West (Aquila)",0.96,168.9,159,5,BUSH20
BUST10,"Central Networks West (Aquila)",0.96,381.7,381.4,0,BUST20
CELL10,"Central Networks West (Aquila)",0.88,475.8,475.8,50.8,CELL40_AQUL
ECLA10,"Central Networks West (Aquila)",0.98,73.7,73.1,0.8,ECLA40_EME
FECK60,"Central Networks West (Aquila)",0.87,347.5,307.2,0,FECK20
GLOU10,"Central Networks West (Aquila)",0.95,671.7,671.7,8.5,WALH40
HAMH11,"Central Networks West (Aquila)",0.96,0,0,0,HAMH40_EME
HAMH12,"Central Networks West (Aquila)",0.96,0,0,0,HAMH40_EME
