"Station Name","Set No","BM Unit","Plant Type","Unit Effective Capacity (MW)","Commissioning Year","MVAr Lead","MVAr Lag","MVA Infeed",Node,"SYS Study Zone",Licensee,
"Aberthaw B",7,T_ABTH7,"Large Coal",547,1976,-163,193.9,1547,ABTH20,Z13,NGET,
"Aberthaw B",8,T_ABTH8,"Large Coal",547,1971,-163.6,193.2,1561.9,ABTH20,Z13,NGET,
"Aberthaw B",9,T_ABTH9,"Large Coal",547,1979,-162.8,194.1,1599.5,ABTH20,Z13,NGET,
"Aberthaw B",,T_ABTH7G,OCGT,17,1967,,,,ABTH20,Z13,NGET,
"Aberthaw B",,T_ABTH8G,OCGT,17,1967,,,,ABTH20,Z13,NGET,
"Aberthaw B",,T_ABTH9G,OCGT,17,1967,,,,ABTH20,Z13,NGET,
Aigas,1,,Hydro,20,,-1.1,-1.1,110,AIGA1Q,Z1,SHETL,
Aikengall,,,Wind,48,2009,-15.8,15.8,252,AIKE30,Z6,SPT,
Ardkinglas,1,,Wind,19,2008,-3.5,3.5,129,ARDK80,Z1,SHETL,
"Baglan Bay",,T_BAGE-1,CCGT,520,2002,-295,173.7,1583.7,BAGB20,Z13,NGET,
"Baglan Bay",,T_BAGE-2,CCGT,32.3,2002,-14.6,11.3,109,BAGB20,Z13,NGET,
Barking,,T_BARK-1,CCGT,127.5,1994,-65.9,52.4,485.9,BARP21,Z14,NGET,1000
Barking,,T_BARK-1,CCGT,127.5,1994,-66,52.4,485.5,BARP21,Z14,NGET,
Barking,,T_BARK-1,CCGT,139.5,1994,-69.5,50.1,499.3,BARP21,Z14,NGET,
Barking,,T_BARKB2,CCGT,127.5,1994,-66.8,55.2,489.1,BARP22,Z14,NGET,
Barking,,T_BARKB2,CCGT,127.5,1994,-65.9,52.4,485.8,BARP22,Z14,NGET,
Barking,,T_BARKB2,CCGT,127.5,1994,-66,52.3,485,BARP22,Z14,NGET,
Barking,,T_BARKB2,CCGT,223,1994,-115.9,70.1,594.7,BARP22,Z14,NGET,
Barmoor,,,Wind,30,2008,-9.9,9.9,141,BARM30,Z6,SPT,
Barry,1,,CCGT,245,1998,-74.1,45.2,645.8,AESB11,Z13,NGET,
Barry,2,,CCGT,75,1998,-31.6,23.6,324.4,AESB11,Z13,NGET,
"Beinn an Tuirc",1,,Wind,30,2001,-6,-6,153,BTUI8W,Z3,SHETL,
"Beinn Tharsuinn",1,,Wind,29,2004,-5,5,152,BETH80,Z1,SHETL,
"Ben Aketil",1,,Wind,28,2007,-6.9,6.9,143,BENA80,Z1,SHETL,
"Black Law",1,,Wind,67,2005,-31.5,21.8,244,BLLA11,Z6,SPT,
"Black Law",2,,Wind,67,2005,-31.5,21.9,244.2,BLLA11,Z6,SPT,
Boyndie,1,,Wind,21,2005,-7,7,104,BOYN8W,Z2,SHETL,
"Braes of Doune Wind",1,,Wind,37,2004,-7.3,10.7,258,BRDU81,Z4,SHETL,
"Braes of Doune Wind",2,,Wind,37,2004,-7.3,10.7,258,BRDU82,Z4,SHETL,
