"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
ABNE1Q,ABNE1R,0,0,CIRCUIT,0,0.01,0,0,0,0,0
ABNE1Q,CHAR10,24.5,0,OHL,2.49,5.66,1.22,132,123,106,123
ABNE1R,ERRO11,69.2,0,OHL,7.03,16.01,3.45,132,123,106,123
AIGA1Q,KIOR1Q,2.4,0.52,COMPOSITE,0.264,0.594,0.66,125,100,80,100
ALNE1Q,MOTA1Q,1.3,0,OHL,0.06,0.28,0.07,229,211,183,211
ALNE1R,MOTA1R,1.3,0,OHL,0.06,0.28,0.07,229,211,183,211
ARBR1Q,DENS1Q,14.5,0,OHL,1.47,3.37,0.71,183,160,149,160
ARBR1R,TEAL10,23.2,0,OHL,1.85,5.27,1.17,183,160,149,160
ARDK10,INVE10,9,0,OHL,0.92,2.1,0.44,132,126,106,126
ARDK10,SLOY1T,10,0,OHL,1.02,2.33,0.49,132,126,106,126
ARDR2Q,BEAU21,35.4,0,OHL,0.28,1.93,7.48,535,490,430,490
ARDR2Q,STRB22,55.77,0,OHL,0.444,3.038,11.773,535,490,430,490
ARMO10,DUGR1Q,14,0,OHL,2.38,3.94,0.93,99,92,79,92
BEAU11,BEAU12,0,0,CIRCUIT,0,0.01,0,0,0,0,0
BEAU11,CULL1Q,14,0,OHL,1.43,3.28,0.69,126,117,101,117
BEAU11,FAAR1Q,30.1,0,OHL,3.065,7.025,1.49,132,123,106,123
BEAU11,FASN10,25.9,0,OHL,2.63,6.03,1.28,126,117,101,117
BEAU11,INNE1Q,15.4,0,OHL,1.57,3.59,0.76,126,117,101,117
BEAU11,MOTA1R,30.9,0,OHL,3.14,7.19,1.53,126,117,101,117
BEAU11,ORRI1S,13.5,0,OHL,1.36,3.2,0.64,126,117,101,117
BEAU12,FAAR1R,30.1,0,OHL,3.065,7.025,1.49,132,123,106,123
BEAU12,FASN1Q,25.9,0,OHL,2.6,5.96,1.26,126,117,101,117
BEAU12,INNE1R,15.4,0,OHL,1.57,3.59,0.76,126,117,101,117
BEAU12,KIOR1Q,1.1,0.2,COMPOSITE,0.13,0.29,0.06,126,117,101,117
BEAU12,MOTA1Q,30.9,0,OHL,3.14,7.19,1.53,132,123,106,123
BEAU12,ORRI1T,13.5,0,OHL,1.36,3.2,0.64,126,117,101,117
BEAU21,BEAU22,0,0,OHL,0,0.01,0,0,0,0,0
BEAU21,DAAS20,73.1,0,OHL,0.852,3.134,19.33,525,485,420,485
BEAU22,FOYE21,41.5,0,OHL,0.39,2.06,9.71,525,485,420,485
BLHI21,BLHI22,0,0,OHL,0,0.01,0,0,0,0,0
BLHI21,FOYE21,112.1,0,OHL,1.22,5.1,28.44,525,485,420,485
BLHI21,KINT2R,51.5,0,OHL,0.6,2.21,13.66,525,485,420,485
BLHI21,PEHE2Z,82.72,0,OHL,0.42,3.576,21.598,1090,1030,920,1030
BLHI22,DAAS20,32.4,0,OHL,0.378,1.39,8.56,525,485,420,485
BLHI22,KEIT2Q,2.4,0,OHL,0.01,0.1,0.58,1090,1030,920,1030
BLHI22,KINT21,51.5,0,OHL,0.6,2.21,13.66,525,485,420,485
BOAG1Q,FAAR1Q,30.1,0,OHL,3.065,7.025,1.49,132,123,106,123
BOAG1Q,GLFA10,21.3,0,OHL,2.162,4.957,1.054,126,117,101,117
BOAG1R,FAAR1R,30.1,0,OHL,3.065,7.025,1.49,132,123,106,123
BRAC1Q,BONB11,9.7,0,OHL,0.98,2.23,0.48,126,117,101,117
BRAC1Q,ERRO11,57.5,0,OHL,5.87,13.41,2.86,132,123,106,123
BRAC1R,BONB12,9.7,0,OHL,0.98,2.23,0.48,126,117,101,117
BRAC1R,ERRO12,57.5,0,OHL,5.87,13.41,2.86,132,123,106,123
BREC1Q,BREC1R,0,0,CIRCUIT,0,0.01,0,0,0,0,0
BREC1Q,BRID1Q,5.1,0,OHL,0.61,1.21,0.25,112,104,90,104
BREC1Q,FIDD1B,30.1,0,OHL,3.54,7.26,1.48,112,104,90,104
BREC1R,BRID1R,5.1,0,OHL,0.61,1.21,0.25,112,104,90,104
BREC1R,DENS1Q,26.1,0,OHL,3.08,6.33,1.29,112,104,90,104
BROA1Q,EDIN10,44.9,0,OHL,6.014,9.963,2.332,99,92,79,92
BROA1Q,QUOI1Q,63.4,0,OHL,8.99,14.87,3.11,99,92,79,92
BROR10,BROR1Q,1.1,0,OHL,0.12,0.27,0.06,126,117,101,117
BROR1Q,DUBE1Q,38.8,0,OHL,3.94,9.01,1.91,126,117,101,117
BROR1Q,SHIN10,34.3,0,OHL,3.49,7.99,1.7,126,117,101,117
BUMU1Q,BUMU1R,0,0,CIRCUIT,0,0.01,0,0,0,0,0
BUMU1Q,CHAR10,42.2,0,OHL,4.29,9.76,2.1,126,117,101,117
BUMU1R,ERRO12,58.9,0,OHL,5.99,13.63,2.93,132,123,106,123
CAAD1Q,PORA1Q,61.8,0,OHL,8.75,14.53,3.01,99,92,79,92
CAAD1R,PORA1R,61.8,0,OHL,8.75,14.53,3.01,99,92,79,92
CARP1Q,DUDH1Q,0,2.9,CABLE,0.06,0.25,3.33,177,155,155,155
CARP1Q,MILC1R,1.4,0,OHL,0.15,0.34,0.07,132,123,106,123
CARP1R,DUDH1R,0,2.9,CABLE,0.06,0.25,3.33,177,155,155,155
CARP1R,MILC1S,1.4,0,OHL,0.141,0.324,0.193,120,100,100,100
CASS1Q,LAIR1Q,28,0,OHL,2.84,6.75,1.33,126,117,101,117
CEAN1Q,MILW1S,4.75,0,OHL,0.48,1.145,0.225,132,126,106,126
CHAR10,BIHI1R,3.9,0,OHL,0.17,0.851,0.206,229,211,183,211
CHAR10,CHAR1Q,0,0,CIRCUIT,0,0.01,0,126,117,101,117
CHAR10,CHAR1R,0,0,CIRCUIT,0,0.01,0,229,211,183,211
CHAR10,GLAG1Q,1.5,2.2,COMPOSITE,0.2,0.46,4.13,105,105,105,105
CHAR10,GLAG1R,1.5,2.2,COMPOSITE,0.2,0.46,4.13,105,105,105,105
CHAR10,LYND1R,1.9,0,OHL,0.2,0.45,0.1,126,117,101,117
CHAR1Q,LYND1Q,1.9,0,OHL,0.2,0.45,0.1,126,117,101,117
CHAR1R,BIHI1Q,3.9,0,OHL,0.17,0.851,0.206,229,211,183,211
CLAC1Q,INVE10,8.4,0,OHL,0.85,1.95,0.41,126,117,101,117
CLAC1Q,SLOY12,14.2,0,OHL,1.44,3.3,0.7,126,117,101,117
CLAY1Q,CLAY1S,0,0,CIRCUIT,0,0.01,0,0,0,0,0
CLAY1Q,WIOW1Q,0,2.1,CABLE,0.08,0.12,4.19,120,100,100,100
CLAY1R,CLAY1T,0,0,CIRCUIT,0,0.01,0,0,0,0,0
CLAY1R,WIOW1R,0,2.1,CABLE,0.08,0.12,4.19,120,100,100,100
CLAY1S,REDM1Q,0,4.8,CABLE,0.19,0.28,9.82,120,100,100,100
CLAY1T,REDM1R,0,4.8,CABLE,0.19,0.28,9.82,120,100,100,100
CLUN1Q,CLUN1S,0,0,CIRCUIT,0,0.01,0,126,117,101,117
CLUN1R,CLUN1T,0,0,CIRCUIT,0,0.01,0,126,117,101,117
