"Node 1","Node 2","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Rating (MVA)"
ABNE1Q,ABNE30,1.05,27.97997,0,60
ABNE1Q,ABNE30,1.05,28.5,0,60
ALNE1Q,ALNE30,1.82,27.83005,0,60
ALNE1R,ALNE30,1.8,27.67001,0,60
ARBR1Q,ARBR30,0.7,28.29001,0,45
ARBR1R,ARBR30,0.7,28.29001,0,45
ARDK10,ARDK32,0.75,25.00009,0,45
ARMO10,ARMO30,0.88,26.44403,0,45
BEAU10,BEAU30,1.04,27.73006,0,45
BEAU10,BEAU30,1.04,27.73006,0,45
BEAU20,BEAU10,0.3,12.17997,0,120
BEAU20,BEAU10,0.5,12.21002,0,120
BEAU20,BEAU10,0.5,12.24997,0,120
BOAG1Q,BOAG30,0.7,21,0,60
BOAG1R,BOAG30,0.7,21,0,60
BRAC1Q,BRAC30,0.9,27.84996,0,60
BRAC1R,BRAC30,0.9,27.6,0,60
BRID1Q,BRID30,1,28.33303,0,60
BRID1R,BRID30,1,28.33303,0,60
BROA1Q,BROA30,1.19,38.99985,0,30
BROR10,BROR30,1.82,67.13,0,15
BUMU1Q,BUMU30,0.88,24.47001,0,60
BUMU1Q,BUMU30,0.88,24.47001,0,60
CAAD1Q,CAAD30,1.04,27.64995,0,60
CAAD1R,CAAD30,1.04,27.64995,0,60
CASS1Q,CASS30,2.13,34.99991,0,30
CHAR10,CHAR30,0.54,27.77797,0,90
CHAR10,CHAR30,0.54,27.77797,0,90
CLAC1Q,CLAC50,0.75,24.99992,0,60
CLAY1Q,CLAY30,0.87,24.91998,0,60
CLAY1R,CLAY30,0.87,24.91998,0,60
COUA1Q,COUA30,1.05,27.89002,0,45
COUA1R,COUA30,1.05,27.89002,0,45
CRAI10,CRAI30,1.78,29.9,0,30
CRAI10,CRAI30,1.75,30.26999,0,30
DAAS20,DAAS30,0.417,19.99999,0,120
DOUN10,DOUN20,0.54,9.869972,0,150
DOUN10,DOUN50,4.15,53.0001,0,30
DOUN10,DOUN50,4.34,52.49992,0,30
DUBE1Q,DUBE30,1.52,39.40003,0,30
DUDH1Q,DUDH30,0.78,24.92997,0,60
DUDH1R,DUDH30,0.78,23.92996,0,60
DUGR1Q,DUGR30,2.11,30.20001,0,30
DUNO1Q,DUNO30,2,24.49003,0,45
DUNO1R,DUNO30,2,24.5801,0,45
DYCE1Q,DYCE30,1.35,26.67002,0,60
DYCE1R,DYCE30,1.36,26.72993,0,60
ELGI1Q,ELGI30,0.63,27.98002,0,90
ELGI1R,ELGI30,0.63,27.77997,0,90
ERED10,ERED30,2.857004,45.71395,0,35
ERQB1T,ERRO10,0.177,3.599998,0,150
ERRO10,ERRO1A,0.073,1.875,0,240
ERRO10,ERRO1B,0.073,1.875,0,240
FASN10,FASN30,2.11,33.99992,0,30
FASN10,FASN51,2.11,33.99992,0,30
FASN10,FASN53,1.51,62.28004,0,30
FAUG1Q,FAUG30,2.23,64.33003,0,15
FIDD1Q,FIDD1B,0.177,3.599998,0,150
FIDD1Q,FIDD30,3.12,36.37009,0,30
FIDD1Q,FIDD30,3.19,35.49996,0,30
FRAS1Q,FRAS30,1.04,28.00003,0,45
FRAS1R,FRAS30,1.04,28.00003,0,45
FWIL1Q,FWIL30,0.88,27.33,0,60
FWIL1R,FWIL30,0.88,27.67001,0,60
GLAG1Q,GLAG31,0.82,19.32995,0,60
GLAG1R,GLAG32,0.82,19.60002,0,60
GLFA10,GLFA30,1.111,27.99997,0,90
GRUB1Q,GRUB50,1.76,50.86989,0,30
GRUB1R,GRUB50,1.78,50.77014,0,30
INNE1Q,INNE30,0.89,27.86996,0,60
INNE1R,INNE30,0.9,28.00004,0,60
INNE1T,INNE30,0.9,27.87003,0,90
KEIT10,KEIT30,0.54,27.77797,0,90
KEIT10,KEIT30,0.54,27.77797,0,90
KEIT2Q,KEIT10,0.1,8.959984,0,240
KEIT2Q,KEIT10,0.24,8.949991,0,240
KIIN10,KIIN30,1.04,28.00003,0,45
KIIN10,KIIN30,1.04,28.00003,0,45
KILO10,KILO30,0.88,27.78006,0,45
KINT10,KINT30,1.04,27.64995,0,60
KINT10,KINT30,0.78,25,0,60
KINT21,KINT10,0.31,10.21,0,240
KINT2Q,KINT10,0.31,10.24002,0,240
KINT2R,KINT10,0.3,12.16997,0,120
LAIR1Q,LAIR30,3.5,50.49986,0,20
LOCN1Q,LOCN30,2.857004,45.71395,0,35
LOCN1Q,LOCN50,0,119.52,0,16.5
LUNA1Q,LUNA30,0.54,27.77797,0,90
LUNA1R,LUNA30,0.54,27.77797,0,90
LYND1Q,LYND30,0.78,24.29998,0,60
LYND1R,LYND30,0.78,24.73004,0,60
MACD1Q,MACD30,1.1,27.69994,0,45
MILC1R,MILC30,0.78,24.82992,0,60
MILC1R,MILC30,0.88,28.13007,0,60
MYBS1Q,MYBS30,0.895,23.91693,0,60
MYBS1R,MYBS30,1.99,32.87002,0,30
MYBS1R,MYBS30,1.636,33.73002,0,30
NAIR1Q,NAIR30,1.06,28.60003,0,60
NAIR1R,NAIR30,1.05,28.60006,0,60
ORRI1Q,ORRI50,2.17,48.74998,0,20
PEHE11,PEHEA1,4.04,66.69998,0,18
PEHE11,PEHEA2,4.04,66.69998,0,18
PEHE11,PEHS50,2.58,42.32998,0,15
PEHE1Q,PEHE91,1.26,32.39991,0,50
PEHE1R,PEHE92,1.24,32.60003,0,50
PEHE21,PEHE11,0.3,9.969988,0,240
PEHE2R,PEHE11,0.23,8.899987,0,240
PEHE2R,PEHE11,0.23,8.899987,0,240
PEHG1Q,PEHG30,1.05,28.53002,0,45
PEHG1R,PEHG30,1.05,28.39993,0,45
PERS1Q,PERS30,0.8,18.97998,0,60
PERS1Q,PERS30,0.8,19.51995,0,60
PERS2Q,PERS1Q,0.22,8.909993,0,240
PERS2Q,PERS1Q,0.22,8.86998,0,240
PORA1Q,PORA30,1.8,29.87002,0,30
PORA1R,PORA30,1.8,29.87002,0,30
RANN1Q,RANN50,1.47,56.66994,0,30
RANN1R,RANN50,1.47,56.66994,0,30
REDM1Q,REDM30,0.91,27,0,60
REDM1R,REDM30,0.9,27.82995,0,60
SFEG1Q,SFEG50,2.28,93.86998,0,30
SFEG1R,SFEG50,2.28,92.8,0,30
SFEM1Q,SFEM51,1.8,41.18995,0,27
SFEM1R,SFEM52,1.8,41.18995,0,27
SFIL1Q,SFIL50,1.99,39.48,0,25
SLOY12,SLOY51,0.79,23.08008,0,50
SLOY13,SLOY52,0.79,22.89998,0,50
SLOY14,SLOY53,0.79,22.98003,0,50
SLOY15,SLOY54,0.8,23.20001,0,50
STRB20,STRB3W,0.5,20.00002,0,75
STRI1Q,STRI30,1.04,27.73006,0,45
STRI1R,STRI30,1.04,27.73006,0,45
TARL1Q,TARL30,2.42,40.99997,0,30
TARL1R,TARL30,2.13,38.52984,0,30
TAYN1Q,TAYN30,1.8,27.99998,0,90
TAYN1R,TAYN30,1.8,27.99998,0,90
TEAL20,TEAL10,0.41,11.77998,0,180
TEAL2R,TEAL10,0.28,11.72999,0,180
TEAL2S,TEAL10,0.41,11.88999,0,180
THSO1Q,THSO30,0.87,29.02997,0,60
THSO1R,THSO30,0.733,23.37001,0,60
TUMB1Q,TUMB50,1.63,77.76006,0,21
TUMB1R,TUMB50,1.64,76.67008,0,21
WIOW1Q,WIOW30,0.88,24.50003,0,60
WIOW1R,WIOW30,0.88,24.50003,0,60
WOHI1Q,WOHI30,0.62,27.23995,0,90
WOHI1R,WOHI30,0.61,27.30997,0,90
