"Fuel Type",Number,Capacity(MW)
Nuclear,,
Magnox,2,1450.4
AGR,7,8365
PWR,1,1200
"Sub Total",10,11015.4
"Coal (+ AGT)",,
"Small Unit",2,783
"Medium Unit",2,2273
"Large Unit",13,25875
"Sub Total",17,28931
CCGT,37,25744
CHP,10,2326
"Sub Total",47,28070
"Oil (+ AGT)",3,3636
OCGT,6,588.9
"Sub Total",9,4224.9
Hydro,34,1028.2
"Pumped Storage",4,2744
"Sub Total",38,3772.2
Wind,38,1650.86
"Offshore Wind",1,140
"Sub Total",39,1790.86
Biomass,1,45
"Sub Total",1,45
TOTAL,161,77849.36
Nuclear,,
Magnox,2,1450.4
AGR,7,8365
PWR,1,1200
"Sub Total",10,11015.4
"Coal (+ AGT)",,
"Small Unit",2,783
"Medium Unit",2,2273
"Large Unit",13,25875
"Sub Total",17,28931
CCGT,37,25744
CHP,10,2326
"Sub Total",47,28070
"Oil (+ AGT)",3,3636
OCGT,6,588.9
"Sub Total",9,4224.9
Hydro,34,1028.2
"Pumped Storage",4,2744
"Sub Total",38,3772.2
Wind,38,1650.86
"Offshore Wind",1,140
"Sub Total",39,1790.86
Biomass,1,45
"Sub Total",1,45
TOTAL,161,77849.36
