"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
ABHA4A,EXET40,48.88,0,OHL,0.105,0.982,27.466,1390,1280,1110,1280
ABHA4A,LANG40,24.63,0,OHL,0.053,0.494,13.873,1390,1280,1110,1280
ABHA4B,EXET40,49.15,0,OHL,0.105,0.988,27.617,1390,1280,1110,1280
ABHA4B,LANG40,24.63,0,OHL,0.053,0.494,13.873,1390,1280,1110,1280
ABTH20,COWB2A,11.99,0,OHL,0.044,0.475,3.446,1350,1290,1180,1290
ABTH20,PYLE20,34.57,0,OHL,0.177,1.398,9.725,1140,1140,1140,1140
ABTH20,TREM20,47.009,0,OHL,0.256,2.088,12.26,625,590,535,590
ABTH20,UPPB21,27.364,0.547,COMPOSITE,0.124,1.129,13.545,770,595,595,770
ABTH20,UPPB22,27.839,0,OHL,0.125,1.133,7.731,955,885,760,885
ALDW20,BRIN21,17.903,0,OHL,0.143,0.727,4.968,625,590,535,590
ALDW20,WMEL20,9.08,0,OHL,0.041,0.377,2.47,955,880,760,880
ALVE4A,INDQ40,97.543,0,OHL,0.209,1.961,54.809,1390,1280,1110,1280
ALVE4A,TAUN4A,72.867,0,OHL,0.156,1.465,40.944,1390,1280,1110,1280
ALVE4B,INDQ40,97.543,0,OHL,0.209,1.961,54.809,1390,1280,1110,1280
ALVE4B,TAUN4B,72.867,0,OHL,0.156,1.465,40.944,1390,1280,1110,1280
AMEM4A,ECLA40,35.746,0,OHL,0.062,0.665,21.887,2010,1910,1750,1910
AMEM4A,IVER4A,20.302,0,OHL,0.035,0.378,12.431,2010,1910,1750,1910
AMEM4B,ECLA40,35.746,0,OHL,0.075,0.686,21.019,1390,1280,1110,1280
AMEM4B,IVER4B,20.302,0,OHL,0.043,0.39,11.938,1390,1280,1110,1280
AXMI40,CHIC42,39.697,0,OHL,0.042,0.6,29.655,2780,2570,2220,2570
AXMI40,EXET40,36.315,0,OHL,0.039,0.603,24.611,2780,2570,2220,2570
BAGB20,MAGA20,12.26,0.5,COMPOSITE,0.056,0.511,8.749,860,860,755,860
BAGB20,SWAN20,18.69,0.5,COMPOSITE,0.085,0.773,10.535,860,860,755,860
BARK21,BARK40,0,0,TRANSFORMER,0.023,2.67,0.409,750,750,750,750
BARK21,BARP21,0,0,"GEN CONN",0.01,0.111,4.53,705,705,705,705
BARK21,REBR21,11.089,0,OHL,0.041,0.436,3.209,1260,1210,1110,1210
BARK21,WTHU2A,16.322,0.119,COMPOSITE,0.074,0.67,5.786,1180,1020,920,1020
BARK22,BARK40,0,0,TRANSFORMER,0.023,2.67,0.409,750,750,750,750
BARK22,BARP22,0,0,"GEN CONN",0.01,0.111,4.53,705,705,705,705
BARK22,REBR22,11.089,0,OHL,0.041,0.436,3.209,1210,1130,1040,1130
BARK22,WTHU2B,16.265,0,OHL,0.073,0.665,4.497,1180,1120,1020,1120
BARK40,NFLE40,23.491,0,OHL,0.041,0.438,14.353,2010,1910,1750,1910
BARK40,NFLE40,23.291,0,OHL,0.041,0.434,14.23,2010,1910,1750,1910
BARK40,WHAM40,9.866,0,COMPOSITE,0.017,0.186,10.644,2010,1910,1750,1910
BARK40,WHAM40,9.742,0,OHL,0.017,0.185,5.833,2010,1910,1750,1910
