"Node 1","Node 2","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Rating (MVA)"
ABHA11,ABHA4A,0.163,8.415,-0.692,240
ABHA12,ABHA4B,0.162,8.353,-0.811,240
ABTH11,ABTH20,0.165,8.054,-0.807,180
ABTH12,ABTH20,0.098,8.199,-0.115,180
ABTH12,ABTH20,0.135,8.332,-0.251,240
ALDW20,ALDW31,0.656,25.925,-0.535,75
ALDW20,ALDW31,0.661,26.058,-0.491,120
ALDW20,ALDW32,0.485,24.662,-0.124,120
ALDW20,ALDW32,0.708,26.657,-0.337,98
ALDW20,ALDW32,0.44,24.829,-0.568,120
ALVE10,ALVE4A,0.112,8.378,-0.232,240
ALVE10,ALVE4B,0.162,8.082,-0.275,240
AMEM10,AMEM4A,0.149,8.332,-0.489,240
AMEM10,AMEM4B,0.149,8.332,-0.582,240
AXMI10,AXMI40,0.148,7.744,-0.796,240
AXMI10,AXMI40,0.149,7.699,-0.813,240
BARK10,BARK21,0.126,8.666,-0.075,240
BARK10,BARK21,0.125,8.666,-0.083,240
BARK1M,BARK22,0.184,8.109,-0.375,180
BARK1N,BARK22,0.187,8.109,-0.378,180
BARK21,BARW31,0.634,29.863,-0.46,100
BARK21,BARW32,0.628,29.673,-0.442,100
BARK22,BARW31,0.618,29.264,-0.436,100
BARK22,BARW32,0.629,29.643,-0.457,100
BEDD11,BEDD21,0.166,7.983,-0.615,240
BEDD11,BEDD22,0.166,8.05,-0.604,240
BEDD12,BEDD21,0.168,7.979,-0.581,240
BEDD12,BEDD22,0.165,8.042,-0.498,240
BEDD1A,BEDD22,0.313,13.046,-1.47,120
BEDD1B,BEDD21,0.306,13.021,-1.756,120
BESW10,BESW20,0.168,8.54,-0.251,240
BESW10,BESW20,0.186,8.33,-0.251,240
BESW10,BESW20,0.138,8.54,-0.409,240
BICF10,BICF4A,0.139,7.915,-0.317,240
BICF10,BICF4B,0.139,7.915,-0.317,240
BIRK10,BIRK20,0.186,8.71,-0.251,240
BIRK10,BIRK20,0.186,8.71,-0.251,240
BIRK10,BIRK20,0.186,8.75,-0.811,240
BISW10,BISW20,0.162,8.111,-0.361,240
BISW10,BISW20,0.164,8.057,-0.696,240
BISW10,BISW20,0.159,8.023,-0.564,240
BISW10,BISW20,0.094,8.737,-0.188,240
BLYT1A,BLYT21,0.167,8.373,-0.261,240
BLYT1B,BLYT21,0.164,8.332,-0.208,240
BLYT21,BLYT60,0.462,17.077,-2.749,120
BLYT21,BLYT60,0.45,16.827,-0.736,120
BLYT21,BLYT60,0.228,10.842,-0.23,180
BOLN11,BOLN40,0.126,8.445,-0.317,276
BOLN11,BOLN40,0.155,8.165,-1.043,276
BOLN12,BOLN40,0.137,8.035,-0.287,276
BOLN12,BOLN40,0.138,7.959,-0.286,276
BOLN1M,BOLN40,0.137,7.974,-0.301,276
BOTW10,BOTW40,0.116,8.191,-0.317,240
BOTW10,BOTW40,0.116,8.212,-0.192,240
BRAI10,BRAI4A,0.142,8.274,-0.216,240
BRAI10,BRAI4B,0.139,7.915,-0.317,240
BRAW11,BRAW20,0.164,8.269,-0.464,240
BRAW11,BRAW20,0.172,8.248,-0.517,240
BRAW12,BRAW20,0.164,8.186,-0.428,240
BRAW12,BRAW20,0.168,8.311,-0.436,240
BRED10,BRED20,0.116,8.28,-0.502,240
BRED10,BRED20,0.121,8.441,-0.501,240
BRED10,BRED20,0.125,8.312,-0.605,240
BRFO10,BRFO40,0.166,8.348,-0.977,260
BRFO10,BRFO40,0.165,8.328,-1.113,260
BRFO10,BRFO40,0.159,8.424,-1.059,240
BRFO10,BRFO40,0.16,8.403,-1.136,260
BRIM10,BRIM2A,0.162,8.207,-0.251,240
BRIM10,BRIM2B,0.112,8.658,0,240
BRIM10,BRIM2C,0.158,8.103,-0.251,240
BRIM1M,BRIM2D,0.161,8.186,-0.666,240
BRLE11,BRLE40,0.147,8.332,-0.465,240
BRLE11,BRLE40,0.139,7.915,-0.317,240
BRLE12,BRLE40,0.146,8.332,-0.494,240
BRLE12,BRLE40,0.139,7.915,-0.317,240
BRLE13,BRLE40,0.103,7.958,-0.967,240
BRLE14,BRLE40,0.098,7.916,-0.317,240
BRWA10,BRWA2A,0.186,8,-0.631,240
BRWA10,BRWA2B,0.17,8.087,-0.626,240
BURW10,BURW40,0.163,8.115,-1.393,240
BURW10,BURW40,0.146,8.204,-1.259,240
BURW1M,BURW40,0.138,7.99,-0.202,240
BUSH10,BUSH20,0.16,7.602,-0.412,240
BUSH10,BUSH20,0.153,7.748,-0.251,240
BUSH10,BUSH20,0.105,8.845,-0.15,240
BUST10,BUST21,0.16,8.123,-0.735,240
BUST10,BUST21,0.159,8.165,-0.682,240
BUST10,BUST22,0.166,8.248,-0.406,240
BUST1M,BUST21,0.172,8.582,-0.249,240
CANT11,CANT40,0.162,8.313,-0.661,240
CANT12,CANT40,0.166,8.402,-0.774,240
CAPE10,CAPE21,0.189,8.52,-0.424,180
CAPE10,CAPE21,0.188,8.476,-0.377,180
CAPE10,CAPE22,0.196,8.353,-1.288,180
CAPE1A,CAPE21,0.195,8.331,0,240
CAPE1B,CAPE22,0.135,8.332,1.032,240
CARE10,CARE20,0.092,8.716,-0.169,240
CARE10,CARE20,0.093,8.729,-0.156,240
CARR11,CARR20,0.286,12.33,-1.519,120
