Busbar,"Customer Name","Power Factor at NG Peak","Local Peak Demand","Demand at NG Peak","Embedded Generation at NG Peak","DCLF Node"
LYNE70,Alcan,1,325,325,0,BLYT20
WYLF10,"Anglesey Aluminium",0.98,262,262,0,"Station Load"
TEMP30,BOC,0.98,10,8,0,TEMP20
DUNG20,"British Energy",0.79,14,14,0,"Station Load"
EGGB41,"British Energy",0.9,40,17,0,"Station Load"
HEYS10,"British Energy",0.79,115,61,0,"Station Load"
HINP21,"British Energy",0.76,47.5,12,0,"Station Load"
HINP22,"British Energy",0.76,47.5,12,0,"Station Load"
SIZE40,"British Energy",0.8,4,4,0,"Station Load"
TREM30,Celsa,0.85,95,0,0,TREM20
BESW10,"Central Networks East (EMEB)",0.97,395.2,395.2,2,BESW20
BICF10,"Central Networks East (EMEB)",0.96,188.1,178.8,58,"BICF4A /BICF4B"
CHTE10,"Central Networks East (EMEB)",0.95,558.7,552,10.6,CHTE20
COVE10,"Central Networks East (EMEB)",0.93,543.6,543.6,10,COVE20
DRAK10,"Central Networks East (EMEB)",0.95,193.7,193.7,2,DRAK20
ECLA10,"Central Networks East (EMEB)",0.9,369.3,369.3,3,ECLA40_EME
ENDE10,"Central Networks East (EMEB)",0.95,531.7,526.5,4,ENDE40
GREN10,"Central Networks East (EMEB)",0.93,714.3,714.3,27.6,GREN40_EME
HAMH12,"Central Networks East (EMEB)",0.96,0,0,0,HAMH40_EME
LEAM10,"Central Networks East (EMEB)",0.96,131.1,131.1,1,HAMH40_EME
RATS10,"Central Networks East (EMEB)",0.94,674.4,657.8,3,RATS40
SBAR40,"Central Networks East (EMEB)",0.96,0,0,0,SBAR40
STYC10,"Central Networks East (EMEB)",0.93,184.7,184.7,2,STAY40
WALP10,"Central Networks East (EMEB)",0.89,271.5,256.5,2,WALP40_EME
WBUR10,"Central Networks East (EMEB)",0.95,249.8,249,4,WBUR40
WILL10,"Central Networks East (EMEB)",0.96,608.9,603.7,2,WILE20
BISW10,"Central Networks West (Aquila)",0.97,480.1,173.8,0,BISW20
BUSH10,"Central Networks West (Aquila)",0.96,166.5,156.7,5,BUSH20
BUST10,"Central Networks West (Aquila)",0.96,378,377.6,0,BUST20
CELL10,"Central Networks West (Aquila)",0.88,472.4,472.4,50.8,CELL40_AQUL
ECLA10,"Central Networks West (Aquila)",0.98,73.2,72.6,0.8,ECLA40_EME
FECK60,"Central Networks West (Aquila)",0.87,343.2,303.1,0,FECK20
GLOU10,"Central Networks West (Aquila)",0.95,644.7,644.7,8.5,WALH40
HAMH11,"Central Networks West (Aquila)",0.96,0,0,0,HAMH40_EME
HAMH12,"Central Networks West (Aquila)",0.96,0,0,0,HAMH40_EME
IROA11,"Central Networks West (Aquila)",0.96,100,100,0,IROA20_AQUIL
IRSH40,"Central Networks West (Aquila)",0.94,336.3,336.3,0,IRSH40
KITW10,"Central Networks West (Aquila)",0.96,429.9,429.9,0,KITW20
LEAM10,"Central Networks West (Aquila)",0.94,308.7,308.3,0,HAMH40_AQUL
NECH10,"Central Networks West (Aquila)",0.89,388.4,344.5,25.2,NECH20
OCKH10,"Central Networks West (Aquila)",0.96,125.6,109.4,0,OCKH20
OLDB10,"Central Networks West (Aquila)",0.97,99.8,100,0,OLDB20
PENN10,"Central Networks West (Aquila)",0.94,316.9,316.9,0,PENN20
RUGE10,"Central Networks West (Aquila)",0.96,250.7,250.7,0,RUGE40
WIEN10,"Central Networks West (Aquila)",0.94,210.3,195.9,0,"WIEN2A /WIEN2B"
GREN10,"Corby Power Ltd",1,0,0,0,GREN40_EME
ALDW31,CORUS,0.75,36,36,0,ALDW20
ALDW32,CORUS,0.82,160,88,0,ALDW20
GRTO60,CORUS,0.8,8,8,0,"GRTO2A /GRTO2B"
RAVE30,CORUS,0.8,5,3,0,"RAVE2Q /RAVE2R"
STSB60,CORUS,0.92,70,0,0,STSB40
TEMP30,CORUS,0.75,12,7,0,TEMP20
TINP32,CORUS,0.7,59,49,0,"TINP2A /TINP2B"
TODP60,CORUS,0.8,10,1,88,TODP20
WHSO31,CORUS,0.91,48.2,28.6,0,WHSO20
WHSO32,CORUS,0.91,48.2,28.6,0,WHSO20
WILL10,Derwent,1,0,0,0,"Station Load"
DRAX11,"Drax Power Limited",0.9,17,17,0,"Station Load"
DRAX12,"Drax Power Limited",0.9,75,75,0,"Station Load"
COTT40,"E.ON (UK) plc (Powergen)",0.34,40,8,0,"Station Load"
DEES4,"E.ON (UK) plc (Powergen)",1,25,0,0,
GRAI40,"E.ON (UK) plc (Powergen)",0.83,46,21,18,"Station Load"
IRON10,"E.ON (UK) plc (Powergen)",0.77,50,6,0,"Station Load"
KINO10,"E.ON (UK) plc (Powergen)",0.8,40,10,0,"Station Load"
RATS10,"E.ON (UK) plc (Powergen)",0.77,43,13,0,"Station Load"
AMEM10,"Eastern Power Networks",0.96,69,58.3,0,"AMEM4A_EPN / AMEM4B_EPN"
BARK10,"Eastern Power Networks",0.97,80.1,80.1,0,BARK20_EPN
BARW30,"Eastern Power Networks",0.94,79.3,76.7,0,BARK20_EPN
BRFO10,"Eastern Power Networks",0.96,782.8,782.7,265,BRFO40
BRIM10,"Eastern Power Networks",0.95,274.3,269.6,0,"BRIM2A_EPN / BRIM2B_EPN / BRIM2C_EPN"
BRRA10,"Eastern Power Networks",0.95,795.4,795.4,0,"RAYL40 / BRAI4A"
BURW10,"Eastern Power Networks",0.96,287.7,287.6,0,BURW40
EASO10,"Eastern Power Networks",0.96,207,207,7.5,EASO40
ELRH10,"Eastern Power Networks",0.96,525.9,525.9,0,"ELST20 / RYEH40 / RYEH4A"
ELST10,"Eastern Power Networks",0.96,102,91.8,0,ELST20
ELWS10,"Eastern Power Networks",0.96,333.4,331.2,0,"ELST20 / WATS20"
GREN10,"Eastern Power Networks",0.96,111.7,111.7,5.7,GREN40_EME
MILH10,"Eastern Power Networks",0.96,237.9,237.9,0,"MILH2A_EPN / MILH2B_EPN"
NORW10,"Eastern Power Networks",0.96,681.2,645.8,29,NORW40
PEWY10,"Eastern Power Networks",0.96,522.6,522.6,0,"WYMO40 / PELH40"
SUND10,"Eastern Power Networks",0.96,590.8,590.8,19.8,SUND40
TILB11,"Eastern Power Networks",0.96,50.3,47.5,5,TILB20
TILB12,"Eastern Power Networks",0.96,64.8,64.7,4,TILB20
TILB13,"Eastern Power Networks",0.96,64.8,64.7,4,TILB20
TILB14,"Eastern Power Networks",0.96,50.3,47.5,5,TILB20
TOTT10,"Eastern Power Networks",0.96,322.2,315.7,28.9,"TOTE20 / TOTW20"
WALP10,"Eastern Power Networks",0.96,614.7,584.3,82.5,WALP40_EME
WARL10,"Eastern Power Networks",0.96,263.4,260.5,12,WARL20
WATS12,"Eastern Power Networks",0.96,203.9,203.4,0,WATS20
WISD10,"Eastern Power Networks",0.96,46.3,46.3,0,WISD20_EME
WTHU60,"Eastern Power Networks",0.96,40.9,40.3,0,"WTHU2A / WTHU2B"
BARK10,"EDF (Formerly LPN)",0.97,157.6,157.6,0,BARK20_LPN
BARW30,"EDF (Formerly LPN)",0.94,165.5,172,0,BARK20_EPN
BEDD10,"EDF (Formerly LPN)",0.96,153.8,141.4,0,BEDD20_SPN
BRIM10,"EDF (Formerly LPN)",0.95,14.2,144.2,0,"BRIM2A_LPN / BRIM2B_LPN / BRIM2C_LPN"
CITR10,"EDF (Formerly LPN)",0.96,869.1,769.7,7.2,CITR42
HACK10,"EDF (Formerly LPN)",0.96,0,0,0,HACK2A/HACK2B
HACK60,"EDF (Formerly LPN)",0.97,170.1,165,0,"HACK2A /HACK2B"
HURS10,"EDF (Formerly LPN)",0.96,313.9,308.5,0,HURS20
LITT10,"EDF (Formerly LPN)",0.96,191.7,191.7,4.3,LITT40
LODR60,"EDF (Formerly LPN)",0.96,430.4,424.5,0,SJOW20
MILH10,"EDF (Formerly LPN)",0.92,24.2,24.2,0,"MILH2A_EPN / MILH2B_EPN"
NEWX10,"EDF (Formerly LPN)",0.96,88.4,87.3,0,NEWX20
NEWX60,"EDF (Formerly LPN)",0.96,472.4,472.4,0,NEWX20
REBR30,"EDF (Formerly LPN)",0.98,110.2,110.1,0,REBR20
SJOW10,"EDF (Formerly LPN)",0.96,772.9,736.7,4,SJOW40
WHAM10,"EDF (Formerly LPN)",0.96,612.7,600.4,4,WHAM40
WIGP10,"EDF (Formerly LPN)",0.96,610.4,604.2,0,WIMB20
WIMB14,"EDF (Formerly LPN)",0.96,154.7,151.7,0,WIMB20
WISD10,"EDF (Formerly LPN)",0.96,218.9,213.1,0,WISD20_LPN
WISD60,"EDF (Formerly LPN)",0.96,136.8,136.8,0,WISD20_LPN
WBUR10,"EdF Energy",0.87,60,9,0,"Station Load"
SFEM50,"Exxon Mobil",1,21.4,21.4,0,SFEM10
SEFI10,"Fellside Heat and Power",1,43,43,0,"Station Load"
DINO40,"First Hydro",1,1650,0,0,"Station Load"
FFES21,"First Hydro",1,150,0,0,"Station Load"
FFES22,"First Hydro",1,150,0,0,"Station Load"
BAGB20,"GE Energy",0.95,27,27,530,"Station Load"
HUMR40,"Immingham CHP",1,0,0,0,
GRMO30,"Ineos (Innovene) Grangemouth",0.98,74.8,74.8,0,GRMO20
RUGE10,"International Power",0.8,30,4,0,RUGE40
CULJ31,"J E T",0.95,0.1,0.1,0,CULJ4A
CULJ32,"J E T",0.95,0.1,0.1,0,CULJ4A
CULJ33,"J E T",0.95,0.1,0.1,0,CULJ4A
HARE30,MOD,0.8,13,14,0,"WHTL1Q/ WHTL1R"
GRAI40,"National Grid",0.88,61.7,61.7,0,GRAI40
SFEG10,"National Grid",0.97,50,50,0,SFEG10
BARK10,"Network Rail",0.85,0,0,0,
BARK40,"Network Rail",1,6,6,0,
BERW10,"Network Rail",1,3,2,0,"BERW1Q / BERW1R"
CATY1A,"Network Rail",1,2,1.5,0,"CATY1Q / CATY1R"
CATY1B,"Network Rail",1,2,1.5,0,"CATY1Q / CATY1R"
DEVM10,"Network Rail",1,2,1,0,DEVM10
ECCF1A,"Network Rail",1,2,2,0,
ECCF1B,"Network Rail",1,2,2,0,
ELST4A,"Network Rail",1,13,13,0,ELST20
ELST4B,"Network Rail",1,13,13,0,ELST20
ELVA20,"Network Rail",1,4,1,0,
HARK40,"Network Rail",1,4,1,0,HARK20
INWI1A,"Network Rail",1,3,3,0,
INWI1B,"Network Rail",1,3,3,0,
LEIB4A,"Network Rail",1,3.5,3,0,LEIB4B
LEIB4B,"Network Rail",1,3.5,3,0,LEIB4B
PAFB4A,"Network Rail",1,7.5,6,0,PAFB4B
PAFB4B,"Network Rail",1,7.5,6,0,PAFB4B
POOB2A,"Network Rail",1,2.5,1.5,0,"POOB2Q / POOB2R"
POOB2B,"Network Rail",1,2.5,1.5,0,"POOB2Q / POOB2R"
POPP20,"Network Rail",1,4,0,0,POPP20
RUGE40,"Network Rail",1,10,9,0,RUGE40
SACO1A,"Network Rail",1,2,2,0,"SACO1Q / SACO1R"
SACO1B,"Network Rail",1,2,2,0,"SACO1Q / SACO1R"
SANX1A,"Network Rail",1,3.5,3.5,0,"SANX1Q / SANX1R"
SANX1B,"Network Rail",1,3.5,3.5,0,"SANX1Q / SANX1R"
SELL30,"Network Rail",0.99,12,12,0,SELL40
SING40,"Network Rail",0.99,22,10,0,SING40
STLE10,"Network Rail",1,5,4,0,STLE10
WISH20,"Network Rail",1,6,6,0,WISH20
WYMO40,"Network Rail",1,14,11,0,WYMO40
ALCA1A,"Northern Electric",0.9,118.7,-7,0,BLYT20
