"Table A-1 Short Bus Codes",,,,,,,
"Short Bus Code","Full Name",,"Short Bus Code","Full Name",,"Short Bus Code","Full Name"
AA,Ardnacrusha,,BRI,Brinny,,COW,"Cow Cross"
AD,Aghada,,BRY,Barnahely,,CRA,Crane
AGL,Agannygal,,BUN,Bunbeg,,CRO,Coolroe
AHA,Ahane,,BUT,Butlerstown,,CSH,Cashla
ANR,Anner,,BWR,Ballywater,,CUL,Cullenagh
ARI,Arigna,,CAH,Cahir,,CUN,Cunghill
ARK,Arklow,,CAM,Camus,,CUS,Cushaling
ARV,Arva,,CBR,Castlebar,,CVW,Castleview
ATE,Athea,,CD,Carrigadrohid,,DAL,Dallow
ATH,Athlone,,CDU,Corduff,,DDK,Dundalk
ATY,Athy,,CDY,Corderry,,DER,Derryiron
AUG,Aughinish,,CF,"Cathaleen's Fall",,DFR,Dunfirth
BAL,Baltrasna,,CFM,Castlefarm,,DGN,Dungarvan
BAN,Bandon,,CGL,Coomagearlahy,,DLT,Dalton
BAR,Barrymore,,CHA,Charleville,,DMY,Dunmanway
BCD,Ballycadden,,CHO,Coomacheo,,DOO,Doon
BCM,Ballycummin,,CKM,Carrickmines,,DRM,Drumkeen
BDA,Baroda,,CKN,Clonkeen,,DRU,Drumline
BDM,Ballyadam,,CL,Cliff,,DRY,Drybridge
BDN,Ballydine,,CLA,Clashavoon,,DSN,Dunstown
BEG,Ballybeg,,CLD,Charlesland,,DYN,Derrybrien
BIN,Binbane,,CLH,Clahane,,EKN*,Enniskillen
BK,Bellacorick,,CLN,Cloon,,ENN,Ennis
BLI,Ballylickey,,CLW,Carlow,,FAS,Fassaroe
BLK,Blake,,COL,"College Park",,FIN,Finglas
BOG,Banoge,,COR,Corraclassy,,FLA,Flagford
BOL,Booltiagh,,COS,Carrick-on-Shannon,,GAE,Glanlee
GAL,Galway,,LSN,Lisheen,,RSY,Ringaskiddy
GCA,"Grange Castle",,LWD,Lodgewood,,RYB,Ryebrook
GI,"Great Island",,MAC,Macroom,,SBN*,Strabane
GIL,Gilra,,MAL,Mallow,,SH,Shannonbridge
GLA,Glasmore,,MAY,Maynooth,,SHE,"Shelton Abbey"
GLE,Glenlara,,MCE,Macetown,,SHL,Shellybanks
GOL,Golagh,,MCV,Mid-Cavan,,SK,Sealrock
GOR,Gorman,,MEE,Meentycat,,SKL,Shankill
GRA,Grange,,MID,Midleton,,SLI,Sligo
GRI,Griffinrath,,MLN,Mullagharlin,,SOM,Somerset
GWE,Gortawee,,MON,Monread,,SOR,"Sorne Hill"
HN,Huntstown,,MOY,Moy,,SRA,Srananagh
HTS,"Hartnett's Cross",,MP,Moneypoint,,STR,Stratford
IA,Inniscarra,,MR,Marina,,SVN,Stevenstown
IKE,Ikerrin,,MTH,"Meath Hill",,TAN*,Tandragee
INC,Inchicore,,MTN,Moneteen,,TAW,Tawnaghmore
ISH,Irishtown,,MUL,Mullingar,,TB,Tarbert
KBY,Kilbarry,,MUN,Mungret,,TBG,Trabeg
KER,Knockearagh,,NAN,Nangor,,TBK,Tullabrack
KIN,Kinnegad,,NAV,Navan,,TH,"Turlough Hill"
KKY,Kilkenny,,NEN,Nenagh,,THU,Thurles
KLM,Kilmore,,NEW,Newbridge,,TIP,Tipperary
KLN,Killonan,,NW,"North Wall",,TIV,Tievebrack
KLS,Kellis,,OLD,Oldcourt,,TLK,Trillick
KMY,Kilmurry,,OST,Oldstreet,,TON,Tonroe
KRA,Knockraha,,OUG,Oughtragh,,TRI,Trien
KTL,Kilteel,,PA,Pollaphuca,,TRL,Tralee
KTN,Killoteran,,PB,Poolbeg,,TSB,Thornsberry
KTY,Kiltoy,,PLA,Platin,,TLE*,Turleenan
KUR,Knockumber,,PLS,Portlaoise,,TYN,Tynagh
LA,Lanesboro,,PRO,Prospect,,WAT,Waterford
LET,Letterkenny,,RAF,Raffeen,,WEX,Wexford
LIB,"Liberty Street",,RAT,Rathkeale,,WHI,Whitegate
LIM,Limerick,,RIC,Richmond,,WMD,"West Midland"
LIS,Lisdrum,,RNW,Rinawade,,WOO,Woodland
LOU,Louth,,RRU,Ratrussan,,,
