Table B-11 Changes in Circuit Characteristics Expected in 2007,,,,,,,,,,
Change,Volt (kV),From,To,No.,Length (km),Impedance p.u. on 100 (MVA),,,Rating (MVA),
,,,,,,R,X,B,Summer,Winter

CP061 Maynooth-Kilteel-Monread 110 kV Line Uprate,,,,,,,,,,
Amend,110,KTL T,MAY,1,21,0.022,0.07,0.007,137,164

CP211 Construction of Srananagh 220 kV Station and Lines,,,,,,,,,,
Add,220,FLA,SRA,1,55,0.006,0.048,0.072,431,518
Add,220/110,SRA,SRA,2,…,0.001,0.064,…,250,250
Add,110,CDY,SRA,1,12.7,0.013,0.042,0.004,137,164
Add,110,CF,SRA,1,52.7,0.071,0.179,0.017,107,126
Add,110,CF,SRA,2,49.2,0.062,0.166,0.016,107,126
Add,110,SLI,SRA,2,12,0.013,0.04,0.004,137,164
Add,110,SLI,SRA,1,11.1,0.017,0.038,0.004,107,126
Delete,110,CDY,CF,1,…,…,…,…,…,…
Delete,110,CF,SLI,1,…,…,…,…,…,…

CP336 Killonan-Knockraha 220 kV Line Uprate,,,,,,,,,,
Amend,220,KLN,KRA,1,82.4,0.013,0.073,0.105,357,467

CP405 Cashla 3rd 220/110 kV Transformer,,,,,,,,,,
Add,220/110,CSH,CSH,3,…,0.002,0,…,175,175

CP418 Corduff-Mullingar 110 kV Line Uprate,,,,,,,,,,
Amend,110,CDU,MUL,1,73.3,0.088,0.237,0.041,107,126

CP419 Corduff-Platin 110 kV Line Uprate,,,,,,,,,,
Amend,110,CDU,PLA,1,37,0.023,0.12,0.013,187,223

CP455 Ardnacrusha-Killonan 110 kV Line Uprate,,,,,,,,,,
Amend,110,AA,KLN,1,9.5,0.006,0.031,0.003,187,223

CP504 Connection of Ballyadam 110 kV Station,,,,,,,,,,
Add,110,BDM,MID,1,5,0.006,0.014,0.009,107,126
Add,110,BDM,WHI,1,20,0.026,0.059,0.018,107,126
Delete,110,MID,WHI,1,…,…,…,…,…,…

CP041 Connection of Hartnett's Cross 110 kV Station,,,,,,,,,,
Add,110,HTS,MAC,1,4.5,0.007,0.016,0.002,107,126

CP138 Connection of Nenagh 110 kV Station,,,,,,,,,,
Add,110,KLN,NEN,1,33.6,0.052,0.116,0.011,107,126

CP173 Connection of Banoge 110 kV Station,,,,,,,,,,
Add,110,ARK,BOG,1,22.6,0.035,0.078,0.007,107,126
Add,110,BOG,CRA,1,26.9,0.042,0.093,0.009,107,126
Delete,110,ARK,CRA,1,…,…,…,…,…,…

CP201 Connection of Athy 110 kV Station,,,,,,,,,,
Add,110,ATY,CLW,1,25,0.039,0.086,0.008,107,126
Add,110,ATY,PLS,1,26.6,0.041,0.092,0.009,107,126
Delete ,110,CLW,PLS,1,…,…,…,…,…,…

CP205 Second Connection to Richmond 110 kV Station,,,,,,,,,,
Add,110,LA,RIC,2,14.7,0.023,0.051,0.005,107,126

CP403 Connection of Baltrasna 110 kV Station,,,,,,,,,,
Add,110,BAL,CDU,1,16.8,0.011,0.055,0.006,187,223
Add,110,BAL,DRY,1,20,0.013,0.065,0.007,187,223
Delete,110,CDU,DRY,1,…,…,…,…,…,…

Connection of Stevenstown 110 kV station and Loop-in of Finglas-Glasmore 110 kV Line,,,,,,,,,,
Add,110,GLA,SVN,1,18,0.017,0.055,0.052,137,154
Add,110,FIN,SVN,1,32.2,0.039,0.104,0.056,107,120
Delete,110,FIN,GLA,2,…,…,….,…,…,…

CP389 Connection of Second Huntstown Generator into Corduff 220 kV Station,,,,,,,,,,
Add,220,CDU,HN,1,4.5,0,0.002,0.123,593,593

CP475 Connection of Glanlee Wind Farm into Coomagearlahy 110 kV station,,,,,,,,,,
Add,110,COO,GAE,1,2,0.001,0.003,0.015,137,140

CP477 Connection of Coomacheo Wind Farm into Clonkeen 110 kV Station,,,,,,,,,,
Add,110,CKN,CHO,1,15,0.008,0.017,0.091,140,140
