Table B-13 Changes in Circuit Characteristics Expected in 2009,,,,,,,,,,
Change,Volt (kV),From,To,No.,Length (km),Impedance p.u. on 100 MVA,,,Rating (MVA),
,,,,,,R,X,B,Summer,Winter

CP184 Construction of Aghada-Rafeen 220 kV Circuit,,,,,,,,,,
Add,220,AD,RAF,1,15,0.001,0.01,0.215,431,518

CP197 Construction of Cushaling-Thornsberry 110 kV Line,,,,,,,,,,
Add,110,CUS,TSB,1,30,0.047,0.103,0.01,107,126

CP218 Construction of Gorman-Navan 3rd 110 kV Line,,,,,,,,,,
Add,110,GOR,NAV,3,6.5,0.007,0.022,0.002,137,164

CP228 Kilbarry-Marina 110 kV Line Uprating,,,,,,,,,,
Amend,110,KBY,MR,1,4,0.004,0.013,0.003,111,143
Amend,110,KBY,MR,2,4,0.004,0.013,0.003,111,143

CP241 Construction of Lodgewood 220 kV Station,,,,,,,,,,
Add,220,ARK,LWD,1,45,0.005,0.035,0.053,431,518
Add,220,CRA,LWD,1,10,0.008,0.027,0.003,137,164
Add,220,GI,LWD,1,50,0.006,0.042,0.063,431,518
Add,220/110,LWD,LWD,1,…,0.001,0.064,…,250,250
Delete,220,ARK,GI,1,…,…,…,….,…,…

CP246 Construction of 2nd Tralee-Tarbert 110 kV Line,,,,,,,,,,
Add,110,TB,TRL,2,47,0.049,0.157,0.016,137,164

CP292a Construction of Gorman-Meath Hill 110 kV Line,,,,,,,,,,
Add,110,GOR,MTH,1,27,0.042,0.093,0.009,107,126

CP374 Construction of 2nd Arva-Shankill 110 kV Line,,,,,,,,,,
Add,110,ARV,SKL,2,18,0.028,0.062,0.006,107,126

CP399 Construction of Moneypoint-Tarbert 400kV Circuit,,,,,,,,,,
Add,400,MP,TB,1,6.5,0,0.001,1.175,1100,1100
Add,400/220,TB,TB,1,…,0,0.027,…,500,500

CP075 Connection of Ballycummin 110 kV Station[1],,,,,,,,,,
Add,110,BCM,LIM,1,4.5,0.006,0.015,0.007,107,112
Add,110,BCM,RAT,1,26.5,0.04,0.091,0.009,107,126
Delete,110,LIM,RAT,1,…,…,…,…,…,…

CP125 Connection of Camus 110 kV Station,,,,,,,,,,
Add,110,CAM,GAL,1,55,0.068,0.15,0.08,107,120

CP478 Connection of Pallas Wind Farm into the new Clahane 110 kV Station,,,,,,,,,,
Add,110,CLH,TRI,1,9,0.014,0.031,0.003,107,126
Add,110,CLH,TRL,1,13.5,0.021,0.047,0.004,107,126
Delete,110,TRI,TRL,1,…,…,…,…,…,…

CP544 Connection of Ballycadden 110 kV Station into new Lodgewood 110 kV Station,,,,,,,,,,
Add,110,BCD,LWD,1,7.5,0.012,0.026,0.002,107,126


"[1] Since the data freeze at the end of December 2006, the DSO signed an agreement for an alternative connection method for Ballycummin 110 kV station.",,,,,,,,,,
