Table B-15 Changes in Circuit Characteristics Expected in 2011,,,,,,,,,,
Change,Volt ,From,To,No.,Length,Impedance p.u. on 100 MVA,,,Rating (MVA),
,(kV),,,,(km),R,X,B,Summer,Winter

CP250 Construction of Castlebar-Tonroe 110 kV Line,,,,,,,,,,
Add,110,CBR,TON,1,55,0.026,0.185,0.089,137,164

"CP468 Construction of a new 400/220 kV station near Nenagh, Co. Tipperary",,,,,,,,,,
Add,400,DSN,WMD,1,125,0.002,0.028,0.631,1424,1713
Add,400,MP,WMD,1,85,0.002,0.019,0.429,1424,1713
Add,400/220,WMD,WMD,1,…,0,0.027,…,500,500
Add,220,KLN,WMD,1,30,0.005,0.027,0.038,357,467
Add,220,SH,WMD,1,60,0.01,0.053,0.077,286,370
Delete,400,DSN,MP,1,…,…,…,…,…,…
Delete,220,KLN,SH,1,…,…,…,…,…,…

CP501 Construction of Clashavoon-Dunmanway 110 kV Line,,,,,,,,,,
Add,110,CLA,DMY,1,35,0.037,0.117,0.012,137,164
