Table C-2 Demand Forecasts at Time of Summer Peak,,,,,,,,,
Bus,Bus Name,Power,Demand Forecast (MW),,,,,,
Code,,Factor,2007,2008,2009,2010,2011,2012,2013
AA,Ardnacrusha,0.94,75,60.6,57.5,69.9,72.7,75.4,77.9
AD,Aghada,0.88,1.7,1.7,1.8,1.9,1.9,2,2.1
AHA,Ahane,0.95,3.8,4,4.1,4.3,4.4,4.6,4.8
ANR,Anner,0.94,11,11,11,11,11,11,11
ARI,Arigna,0.97,3.9,4.1,4.2,4.4,4.5,4.7,4.9
ARK,Arklow,0.95,40.9,34.2,35.1,36.6,38.1,39.5,40.9
ATH,Athlone,0.92,61.2,63.3,65,67.9,70.6,73.2,75.7
ATY,Athy,0.95,-,17.2,17.7,18.5,19.2,19.9,20.6
BAL,Baltrasna,0.96,19.4,19.8,20.2,20.8,21.4,22,22.5
BAN,Bandon,0.96,31.9,33,33.9,35.4,36.8,38.2,39.4
BAR,Barrymore,0.98,31.2,32.2,33.1,34.6,36,37.3,38.5
BCM,Ballycummin,0.96,-,-,-,17.4,17.8,18.2,18.6
BDA,Baroda,0.96,-,19,19,19,19,19,19
BDM,Ballyadam,0.98,-,19.6,19.6,19.6,19.6,19.6,19.6
BDN,Ballydine,0.93,13.4,13.6,13.8,14.2,14.5,14.8,15.1
BEG,Ballybeg,0.91,2.2,2.3,2.4,2.5,2.6,2.7,2.8
BIN,Binbane,0.88,16.7,17.3,17.7,18.5,9,9.4,9.7
BK,Bellacorick,0.95,4.1,4.3,4.4,4.6,4.8,4.9,5.1
BLI,Ballylickey,0.86,8.3,8.6,8.9,9.3,9.6,10,10.3
BLK,Blake,0.86,23.4,24.2,24.8,25.9,27,28,28.9
BOG,Banoge,0.95,-,14.5,14.8,15.5,16.1,16.7,17.3
BRI,Brinny,0.95,4.2,4.2,4.2,4.2,4.2,4.2,4.2
BRY,Barnahely,0.97,43.5,44.9,46.1,48.2,50.2,52,53.7
BUN,Bunbeg,0.95,-,-,-,-,15.3,15.8,16.4
BUT,Butlerstown,0.96,40.2,41.6,42.7,44.6,46.4,48.1,49.7
CAH,Cahir,0.94,27.3,28.1,28.8,29.9,31,32.1,33
CAM,Camus,0.98,-,-,-,4.9,5.1,5.3,5.5
CBR,Castlebar,0.9,44.7,46.2,47.4,49.6,51.6,53.5,55.2
CF,Cathaleen’s Fall,0.94,14.8,15.3,15.7,16.4,17.1,17.7,18.3
CFM,Castlefarm,0.95,44,44,44,44,44,44,44
CHA,Charleville,0.89,15.5,16,16.4,17.2,17.9,18.5,19.1
