Table C-1 Demand Forecasts at Time of Winter Peak,,,,,,,,,
Bus,Bus Name,Power,Demand Forecast (MW),,,,,,
Code,,Factor,2007,2008,2009,2010,2011,2012,2013
AA,Ardnacrusha,0.94,87.3,84.6,98.9,103.5,107.5,111.4,115
AD,Aghada,0.95,1.6,1.6,1.7,1.8,1.8,1.9,2
AHA,Ahane,0.99,9.2,9.5,9.8,10.3,10.7,11.1,11.4
ANR,Anner,0.94,11,11,11,11,11,11,11
ARI,Arigna,0.95,4,4.1,4.3,4.5,4.6,4.8,5
ARK,Arklow,0.96,38,39.2,40.6,42.5,44.2,45.7,47.2
ATH,Athlone,0.96,65.8,67.9,70.3,73.5,76.4,79.2,81.8
ATY,Athy,0.95,19.8,20.4,21.1,22.1,23,23.8,24.6
BAL,Baltrasna,0.96,21.9,22.4,23,23.7,24.4,25.1,25.7
BAN,Bandon,0.95,30.6,31.6,32.7,34.2,35.6,36.8,38
BAR,Barrymore,0.97,25.9,26.7,27.7,29,30.1,31.2,32.2
BCM,Ballycummin,0.96,-,-,18.9,19.4,19.9,20.4,20.8
BDA,Baroda,0.96,-,19,19,19,19,19,19
BDM,Ballyadam,0.98,19.6,19.6,19.6,19.6,19.6,19.6,19.6
BDN,Ballydine,0.96,18.2,18.6,19,19.6,20.2,20.7,21.2
BEG,Ballybeg,0.94,10.8,11.1,11.5,12.1,12.5,13,13.4
BIN,Binbane,0.97,22.1,22.8,23.6,12.9,13.4,13.9,14.4
BK,Bellacorick,0.95,5.1,5.2,5.4,5.7,5.9,6.1,6.3
BLI,Ballylickey,0.96,12.3,12.7,13.1,13.7,14.3,14.8,15.3
BLK,Blake,0.96,37,38.2,39.6,41.4,43,44.6,46
BOG,Banoge,0.95,16.6,17.1,17.8,18.6,19.3,20,20.6
BRI,Brinny,0.95,4.2,4.2,4.2,4.2,4.2,4.2,4.2
BRY,Barnahely,0.97,51.9,53.5,55.4,58,60.3,62.4,64.4
BUN,Bunbeg,0.95,-,-,-,17.6,18.3,18.9,19.5
BUT,Butlerstown,0.97,52.4,54,56,58.5,60.8,63,65.1
