Table D-2 Maximum Continuous Rating of Existing and Committed Transmission-Connected Generation,,,,,,,,,
Area,Generation Station,Unit ID,Maximum Continuous Rating (Exported MW),,,,,,
,,,2007,2008,2009,2010,2011,2012,2013
Dublin,Dublin Bay Power,DB1,403,403,403,403,403,403,403
,Huntstown ,HNC,343,343,343,343,343,343,343
,Huntstown ,HN2,400,400,400,400,400,400,400
,North Wall,NW4,163,163,163,163,163,163,163
,North Wall,NW5,109,109,109,109,109,109,109
,Poolbeg,PB1,109.5,109.5,109.5,109.5,109.5,109.5,109.5
,Poolbeg,PB2,109.5,109.5,109.5,109.5,109.5,109.5,109.5
,Poolbeg,PB3,242,242,242,242,242,242,242
,Poolbeg ,PBC,460,460,460,460,460,460,460
,Turlough Hill,TH1,73,73,73,73,73,73,73
,Turlough Hill,TH2,73,73,73,73,73,73,73
,Turlough Hill,TH3,73,73,73,73,73,73,73
,Turlough Hill,TH4,73,73,73,73,73,73,73
Dublin Area Total,,,2631,2631,2631,2631,2631,2631,2631
South-West,Aghada,AD1,258,258,258,258,258,258,258
,Aghada,AT1,90,90,90,90,90,90,90
,Aghada,AT2,90,90,90,90,90,90,90
,Aghada,AT4,90,90,90,90,90,90,90
,Aghada PCP,AP5,51.8,51.8,51.8,51.8,51.8,51.8,51.8
,Athea,-,-,51,51,51,51,51,51
,Lee ,LE1,15,15,15,15,15,15,15
,Lee ,LE2,4,4,4,4,4,4,4
,Lee ,LE3,8,8,8,8,8,8,8
,Marina,MRT,112,112,112,112,112,112,112
,Aughinish,SK3,80.4,80.4,80.4,80.4,80.4,80.4,80.4
,Aughinish,SK4,80.4,80.4,80.4,80.4,80.4,80.4,80.4
,Coomagearlahy,CGW,42.5,42.5,42.5,42.5,42.5,42.5,42.5
,Glanlee,-,29.8,29.8,29.8,29.8,29.8,29.8,29.8
,Coomacheo,-,41.2,41.2,41.2,41.2,41.2,41.2,41.2
,Moneypoint,MP2,287.5,282.5,282.5,281.5,281.5,281.5,281.5
,Moneypoint,-,-,21.9,21.9,21.9,21.9,21.9,21.9
,Pallas,-,-,-,37.8,37.8,37.8,37.8,37.8
,Tarbert,TB1,54,54,54,-,-,-,-
,Tarbert,TB2,54,54,54,-,-,-,-
,Tarbert,TB3,240.7,240.7,240.7,-,-,-,-
,Tarbert,TB4,240.7,240.7,240.7,-,-,-,-
South-West Area Total,,,1870,1937.9,1975.7,1385.3,1385.3,1385.3,1385.3
Mid-West,Ardnacrusha,"AA1,2,3,4",86,86,86,86,86,86,86
,Booltiagh,BTW,19.5,19.5,19.5,19.5,19.5,19.5,19.5
,Derrybrien,DBW,59.5,59.5,59.5,59.5,59.5,59.5,59.5
,Moneypoint,MP1,282.5,282.5,282.5,281.5,281.5,281.5,281.5
,Moneypoint,MP3,282.5,282.5,282.5,281.5,281.5,281.5,281.5
,Tynagh,TY,382,382,382,382,382,382,382
Mid-West Area Total,,,1112,1112,1112,1110,1110,1110,1110
South-East,Ballywater,BWW,31.5,31.5,31.5,31.5,31.5,31.5,31.5
,Great Island,GI1,54,54,54,54,54,54,54
,Great Island,GI2,54,54,54,54,54,54,54
,Great Island,GI3,108,108,108,108,108,108,108
,Liffey ,LI1,15,15,15,15,15,15,15
,Liffey ,LI2,15,15,15,15,15,15,15
,Liffey ,LI4,4,4,4,4,4,4,4
South-East Area Total,,,281.5,281.5,281.5,281.5,281.5,281.5,281.5
Midlands,Edenderry Power ,ED1,118.3,118.3,118.3,118.3,118.3,118.3,118.3
,West Offaly Power,WO4,137,137,137,137,137,137,137
,Rhode PCP,RP1,51.8,51.8,51.8,51.8,51.8,51.8,51.8
,Rhode PCP,RP2,51.8,51.8,51.8,51.8,51.8,51.8,51.8
Midlands Area Total,,,358.9,358.9,358.9,358.9,358.9,358.9,358.9
North-West,Erne,ER3,22.5,22.5,22.5,22.5,22.5,22.5,22.5
,Erne,ER4,22.5,22.5,22.5,22.5,22.5,22.5,22.5
,Erne,ER1,10,10,10,10,10,10,10
,Erne,ER2,10,10,10,10,10,10,10
,Golagh,GOL,15,15,15,15,15,15,15
,Kingsmountain ,KGM,23.8,23.8,23.8,23.8,23.8,23.8,23.8
,Lough Ree Power,LR4,91,91,91,91,91,91,91
,Meentycat,MCT,71,71,85,85,85,85,85
,Tawnaghmore PCP ,TP1,51.8,51.8,51.8,51.8,51.8,51.8,51.8
North-West Area Total,,,317.6,317.6,331.6,331.6,331.6,331.6,331.6
North-East,Mountain Lodge,MLW,-,24.8,24.8,24.8,24.8,24.8,24.8
,Ratrussan,RRW,70,70,70,70,70,70,70
North-East Area Total,,,70,94.8,94.8,94.8,94.8,94.8,94.8
Total,,,6641,6733.7,6785.5,6782.5,6782.5,6782.5,6782.5
