"PSSE Bus No.","PSSE Name",Voltage,"Forecast Statement Code","Forecast Statement Name",Comment
,,,,,
10,'F_M_____',38,,,"38kV Distribution Bus"
11,'FMN_LOOP',38,,,"38kV Distribution Bus"
12,"'BEDFORD '",38,,,"38kV Distribution Bus"
13,'M_R_____',38,,,"38kV Distribution Bus"
14,'F_I_____',38,,,"38kV Distribution Bus"
15,'I_M_____',38,,,"38kV Distribution Bus"
41,"'TANEY   '",110,,,"110kV Distribution Bus"
51,"'MISERY H'",110,,,"110kV Distribution Bus"
52,"'MISERY H'",38,,,"38kV Distribution Bus"
1021,'ARDNACRU',110,AA,Ardnacrusha,"110kV Bus"
1041,"'AGHADA  '",110,AD,Aghada,"110kV Bus"
1042,"'AGHADA  '",220,AD,Aghada,"220kV Bus"
1061,"'ARIGNA  '",110,ARI,Arigna,"110kV Bus"
1081,"'AHANE   '",110,AHA,Ahane,"110kV Bus"
1101,"'ANNER   '",110,ANR,Anner,"110kV Bus"
1121,"'ARKLOW  '",110,ARK,Arklow,"110kV Bus"
1122,"'ARKLOW  '",220,ARK,Arklow,"220kV Bus"
1141,"'ATHLONE '",110,ATH,Athlone,"110kV Bus"
1151,"'ARKLOW B'",110,ABK,Arbank,"110kV Bus"
1161,'AUGHINIS',110,AUG,Aughinish,"110kV Bus"
1171,'SEALROCK',110,SK,Sealrock,"110kV Bus"
1181,"'ARVA    '",110,ARV,Arva,"110kV Bus"
1191,'SEALROCK',110,SK,Sealrock,"110kV Bus"
1201,"'ARTANE  '",110,,,"110kV Distribution Bus"
1221,"'ATHY    '",110,ATY,Athy,"110kV Bus"
1231,'BALLYWAT',110,BWR,Ballywater,"110kV Bus"
1251,'BOOLTIAG',110,BOL,Booltiagh,"110kV Bus"
1281,'BALLYLIC',110,BLI,Ballylickey,"110kV Bus"
1301,'BALLYBEG',110,BEG,Ballybeg,"110kV Bus"
1321,"'BLAKE   '",110,BLK,Blake,"110kV Bus"
1341,"'BINBANE '",110,BIN,Binbane,"110kV Bus"
1361,'BALLYDIN',110,BDN,Ballydine,"110kV Bus"
1381,'BARNAHEL',110,BRY,Barnahely,"110kV Bus"
1401,'BELLACOR',110,BK,Bellacorick,"110kV Bus"
1421,'BLACKROC',110,,,"110kV Distribution Bus"
1441,"'BANDON  '",110,BAN,Bandon,"110kV Bus"
1461,'BARRYMOR',110,BAR,Barrymore,"110kV Bus"
1481,'BUTLERST',110,BUT,Butlerstown,"110kV Bus"
1501,"'BRINNY  '",110,BRI,Brinny,"110kV Bus"
1511,"'BRINNY  '",110,BRI,Brinny,"110kV Bus"
1541,"'BANOGE  '",110,BOG,Banoge,"110kV Bus"
1581,"'CABRA   '",110,,,"110kV Distribution Bus"
1601,'CLASHAVO',110,CLA,Clashavoon,"110kV Bus"
1602,'CLASHAVO',220,CLA,Clashavoon,"220kV Bus"
1621,"'COOLROE '",110,CRO,Coolroe,"110kV Bus"
1631,'CORDERRY',110,CDY,Corderry,"110kV Bus"
1641,"'CASHLA  '",110,CSH,Cashla,"110kV Bus"
1642,"'CASHLA  '",220,CSH,Cashla,"220kV Bus"
1661,'CASTLEBA',110,CBR,Castlebar,"110kV Bus"
1681,'CARRIGAD',110,CD,Carrigadrohid,"110kV Bus"
1701,'CATH_FAL',110,CF,"Cathaleens Fall","110kV Bus"
1721,"'CAHIR   '",110,CAH,Cahir,"110kV Bus"
1741,'CARRICKM',110,CKM,Carrickmines,"110kV Bus"
1742,'CARRICKM',220,CKM,Carrickmines,"220kV Bus"
1761,"'CLIFF   '",110,CL,Cliff,"110kV Bus"
1781,'CASTLEFA',110,CFM,Castlefarm,"110kV Bus"
1791,'CASTLEFA',110,CFM,Castlefarm,"110kV Bus"
1801,'COOKSTOW',110,,,"110kV Distribution Bus"
1821,"'CLOON   '",110,CLN,Cloon,"110kV Bus"
1841,"'CRANE   '",110,CRA,Crane,"110kV Bus"
1861,"'CARRICK '",110,COS,Ck-on-Shannon,"110kV Bus"
1871,"'COLLEGE '",110,COL,"College Park","110kV Bus"
1881,'CHARLEVI',110,CHA,Charleville,"110kV Bus"
1901,"'CARLOW  '",110,CLW,Carlow,"110kV Bus"
1921,"'COW CROS'",110,COW,"Cow Cross","110kV Bus"
1931,'CUNGHILL',110,CUN,Cunghill,"110kV Bus"
1941,'CUSHALIN',110,CUS,Cushaling,"110kV Bus"
1961,'CASTLEVI',110,CVW,Castleview,"110kV Bus"
1981,'CORRACLA',110,COR,Corraclassy,"110kV Bus"
2001,'CULLENAG',110,CUL,Cullenagh,"110kV Bus"
2002,'CULLENAG',220,CUL,Cullenagh,"220kV Bus"
2021,"'CITY WES'",110,,,"110kV Distribution Bus"
2041,"'CORDUFF '",110,CDU,Corduff,"110kV Bus"
2042,"'CORDUFF '",220,CDU,Corduff,"220kV Bus"
2081,'DUNKETTL',110,DKL,Dunkettle,"110kV Bus"
2101,"'DUNDALK '",110,DDK,Dundalk,"110kV Bus"
2121,'DRUMLINE',110,DRU,Drumline,"110kV Bus"
2141,'DUNGARVA',110,DGN,Dungarvan,"110kV Bus"
2161,"'DOON    '",110,DOO,Doon,"110kV Bus"
2181,'DRYBRIDG',110,DRY,Drybridge,"110kV Bus"
2202,'DUNSTOWN',220,DSN,Dunstown,"220kV Bus"
