Table B-10 Characteristics of Existing Reactive Compensation,,,,
Station,Bus,Plant,Mvar Capability,
,,,Generate,Absorb
Athlone,ATH 110,2 Capacitors (1 Mobile),60, 
Bandon,BAN 110,1 Capacitor,15, 
Cahir,CAH 110,4 Capacitors,60, 
Carrickmines,CKM 220,1 Shunt Reactor, ,100
Cashla ,CSH 110,2 Capacitors,80, 
Castlebar,CBR 110,1 Capacitor,30, 
Castlebar,CBR 110,1 Static Var Compensator,60,10
Cathaleen's Fall,CF 110,1 Capacitor,15, 
Dalton,DLT 110,1 Capacitor,15, 
Doon,DOO 110,1 Capacitor,15, 
Dunmanway,DMY 110,1 Capacitor,15, 
Dunstown[1],DSN 400,1 Shunt Reactor,,80
Gortawee,GWE 110,1 Capacitor,15, 
Letterkenny,LET 110,1 Capacitor,15, 
Letterkenny,LET 110,1 Static Var Compensator,30, 
Moy,MOY 110,2 Capacitors,30, 
Navan,NAV 110,1 Capacitor (1 Mobile),30, 
Raffeen,RAF 110,1 Capacitor,60, 
Sligo,SLI 110,1 Capacitor,15, 
Thurles,THU 110,1 Capacitor,15, 
Tralee,TRL 110,1 Capacitor,30, 
Trien,TRI 110,1 Capacitor,30, 
Wexford,WEX 110,2 Capacitors,30, 
Woodland[2],WOO 400,1 Shunt Reactor,,80
Total ,,,665,270


"[1] This shunt reactor is on the Moneypoint-Dunstown 400 kV line, at the Dunstown end.",,,,
[2] This shunt reactor is on the Oldstreet-Woodland 400 kV line at the Woodland end.,,,,
