Table D?3 Distribution-Connected Wind Farm Capacity at Year End ,,,,,,,,,,
Area,110 kV,Wind Farm ,Wind Farm Capacity (MW),,,,,,,
,Station,,2006,2007,2008,2009,2010,2011,2012,2013
North East,Drybridge,Dunmore,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
,Dundalk,Dundalk IT,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Dundalk,Mullananalt,- ,7.5,7.5,7.5,7.5,7.5,7.5,7.5
,Meath Hill,Gartnaneane 1 & 2,15,15,15,15,15,15,15,15
,Shankill,Corneen,3,3,3,3,3,3,3,3
,Shankill,Mountain Lodge 2,-,3,3,3,3,3,3,3
North-East Area Total,,,20.2,30.7,30.7,30.7,30.7,30.7,30.7,30.7
South-East,Arklow,Arklow Banks 1,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
,Ballycadden,Ballycadden,-,-,-,14.45,14.45,14.45,14.45,14.45
,Ballycadden,Knocknalour,-,-,-,5,5,5,5,5
,Butlerstown,Beallough ,-,1.7,1.7,1.7,1.7,1.7,1.7,1.7
,Carlow,Cronelea,-,4.999,4.999,4.999,4.999,4.999,4.999,4.999
,Carlow,Cronelea Upper,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
,Crane,Kilbranish (Greenoge),4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99
,Wexford,Carnsore,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
,Wexford,Richfield 1,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25
,Wexford,Richfield 2,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
South-East Area Total,,,71.6,78.3,78.3,97.8,97.8,97.8,97.8,97.8
Midlands,Dallow,Carrig 1,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
,Dallow,Skehanagh,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
,Ikerrin,Ballinlough,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
,Ikerrin,Ballinveny,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
Midlands Area Total,,,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
Mid-West,Ardnacrusha,Curraghgraigue,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
,Ardnacrusha,Knockastanna,-,7.5,7.5,7.5,7.5,7.5,7.5,7.5
,Ardnacrusha,Mienvee,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
,Galway,Inis Mean,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675
,Galway,Inverin (Knock South),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
,Somerset,Sonnagh Old,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65
,Tullabrack,Moanmore,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
Mid-West Area Total,,,27.4,34.9,34.9,34.9,34.9,34.9,34.9,34.9
North-West,Arigna,Corrie Mountain,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
,Arigna,Kilronan,5,5,5,5,5,5,5,5
,Arigna,Spion Kop,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
,Bellacorick,Bellacorick,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45
,Binbane,Burtonport Harbour,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
,Binbane,Corkermore,-,-,15,15,15,15,15,15
,Binbane,Killin Hill,-,-,6,6,6,6,6,6
,Binbane,Killybegs,-,2.55,2.55,2.55,2.55,2.55,2.55,2.55
,Binbane,Loughderryduff,-,-,7.65,7.65,7.65,7.65,7.65,7.65
,Binbane,Meenachullalan,-,11.9,11.9,11.9,11.9,11.9,11.9,11.9
,Castlebar,Cuillalea West,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
,Castlebar,Raheen Barr,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7
,Castlebar,Burren (Mayo),2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
,Cathaleen's Fall,Anarget 1,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98
,Cathaleen's Fall,Anarget 2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
,Cathaleen's Fall,Meenadreen,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
,Corderry,Altagowlan,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
,Corderry,Black Banks 1,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
,Corderry,Black Banks 2,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
,Corderry,Caranne Hill,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
,Corderry,Geevagh,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95
,Corderry,Moneenatieve,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96
,Letterkenny,Cark,15,15,15,15,15,15,15,15
,Letterkenny,Cronalaght,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98
,Letterkenny,Culliagh,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88
,Letterkenny,Lurganboy,-,5.1,5.1,5.1,5.1,5.1,5.1,5.1
,Letterkenny,Meenanilta 1,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
,Letterkenny,Meenanilta 2,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
,Moy,Lackan,-,6,6,6,6,6,6,6
,Sorne Hill,Glackmore Hill,-,0.6,0.6,0.6,0.6,0.6,0.6,0.6
,Sorne Hill,Sorne Hill,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5
,Tonroe,Largan Hill,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94
,Trillick,Beam Hill,14,14,14,14,14,14,14,14
,Trillick,Crockahenny,5,5,5,5,5,5,5,5
,Trillick,Drumlough Hill,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
,Trillick,Drumlough Hill 2,-,10.2,10.2,10.2,10.2,10.2,10.2,10.2
North-West Area Total,,,177,213.4,242,242,242,242,242,242
South-West,Ballylickey,Glanta Commons,-,19.55,19.55,19.55,19.55,19.55,19.55,19.55
,Ballylickey,Kealkil (Curraglass) ,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
,Bandon,Kilvinane,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
,Dunmanway,Coomatallin,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
,Dunmanway,Curabwee,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62
,Dunmanway,Lahanaght Hill,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
,Dunmanway,Milane Hill,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94
,Glenlara,Dromdeveen,-,-,10.5,10.5,10.5,10.5,10.5,10.5
,Glenlara,Taurbeg 1,20,20,20,20,20,20,20,20
,Glenlara,Taurbeg 2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
,Knockearagh,Gneeves,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35
,Macroom,Carriganimma,-,-,15,15,15,15,15,15
,Mallow,Carrigcannon,-,-,-,20,20,20,20,20
,Rathkeale,Glenshesk,-,5,5,5,5,5,5,5
,Rathkeale,Killacullen,-,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,Rathkeale,Rathcahill,-,5,5,5,5,5,5,5
,Tralee,Beenageeha,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96
,Tralee,Mount Eagle 1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
,Tralee,Mount Eagle 2,-,1.7,1.7,1.7,1.7,1.7,1.7,1.7
,Tralee,Muingnaminnane,-,15.3,15.3,15.3,15.3,15.3,15.3,15.3
,Tralee,Tursillagh 1,15.18,15.18,15.18,15.18,15.18,15.18,15.18,15.18
,Tralee,Tursillagh 2 ,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
,Trien,Beale,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,Trien,Knockawarriga,-,22.5,22.5,22.5,22.5,22.5,22.5,22.5
,Trien,Tournafulla 1,-,7.6,7.6,7.6,7.6,7.6,7.6,7.6
,Trien,Tournafulla 2,-,17.1,17.1,17.1,17.1,17.1,17.1,17.1
South-West Area Total,,,103.7,199.9,225.4,245.4,245.4,245.4,245.4,245.4
Totals ,,,411.8,569.1,623.2,662.7,662.7,662.7,662.7,662.7
