"Node 1","Node 2","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Rating (MVA)"
ABNE1Q,ABNE30,1.05,27.98,0,60
ABNE1R,ABNE30,1.05,28.5,0,60
ALNE1Q,ALNE30,1.82,27.83,0,60
ALNE1R,ALNE30,1.8,27.67,0,60
ARBR1Q,ARBR30,0.7,28.29,0,45
ARBR1R,ARBR30,0.7,28.29,0,45
ARDK10,ARDK32,0.75,25,0,45
ARMO10,ARMO30,0.88,26.444,0,45
BEAU11,BEAU22,0.5,12.25,0,120
BEAU11,BEAU30,1.04,27.73,0,45
BEAU12,BEAU21,0.3,12.18,0,120
BEAU12,BEAU21,0.5,12.21,0,120
BEAU12,BEAU30,1.04,27.73,0,45
BOAG1Q,BOAG30,0.7,21,0,60
BOAG1R,BOAG30,0.7,21,0,60
BRAC1Q,BRAC30,0.9,27.85,0,60
BRAC1R,BRAC30,0.9,27.6,0,60
BRID1Q,BRID31,1,28.333,0,60
BRID1R,BRID31,1,28.333,0,60
BROA1Q,BROA30,1.19,39,0,30
BROR10,BROR30,1.82,67.13,0,15
BUMU1Q,BUMU30,0.88,24.47,0,60
BUMU1R,BUMU30,0.88,24.47,0,60
CAAD1Q,CAAD30,1.04,27.65,0,60
CAAD1R,CAAD30,1.04,27.65,0,60
CASS1Q,CASS30,2.13,35,0,30
CHAR10,CHAR30,0.54,27.778,0,90
CHAR1R,CHAR30,0.54,27.778,0,90
CLAY1Q,CLAY30,0.87,24.92,0,60
CLAY1R,CLAY30,0.87,24.92,0,60
COUA1Q,COUA31,1.05,27.89,0,45
COUA1R,COUA31,1.05,27.89,0,45
CRAI10,CRAI30,1.78,29.9,0,30
CRAI1Q,CRAI30,1.75,30.27,0,30
DAAS20,DAAS30,0.417,20,0,120
DOUN10,DOUN20,0.54,9.87,0,150
DOUN10,DOUN50,4.15,53,0,30
DOUN10,DOUN50,4.34,52.5,0,30
DUBE1Q,DUBE30,1.52,39.4,0,30
DUDH1Q,DUDH30,0.78,24.93,0,60
DUDH1R,DUDH30,0.78,23.93,0,60
DUGR1Q,DUGR30,2.11,30.2,0,30
DUNO1Q,DUNO30,2,24.49,0,45
DUNO1R,DUNO30,2,24.58,0,45
DYCE1Q,DYCE30,1.35,26.67,0,60
DYCE1R,DYCE30,1.36,26.73,0,60
EDIN10,EDIN30,0.5,18,0,60
ELGI1Q,ELGI30,0.63,27.98,0,90
ELGI1R,ELGI30,0.63,27.78,0,90
ERED10,ERED30,2.857,45.714,0,35
FAAR1Q,FAAR31,0.9,28.34,0,90
FAAR1R,FAAR32,0.9,28.34,0,90
FASN10,FASN30,1,25,0,45
FAUG1Q,FAUG30,2.23,64.33,0,15
FIDD1Q,FIDD30,3.12,36.37,0,30
FIDD1R,FIDD30,3.19,35.5,0,30
FRAS1Q,FRAS30,1.284,26.88,0,45
FRAS1R,FRAS30,1.271,26.48,0,45
FWIL1Q,FWIL30,0.88,27.33,0,60
FWIL1R,FWIL30,0.88,27.67,0,60
GLAG1Q,GLAG31,0.82,19.33,0,60
GLAG1R,GLAG32,0.82,19.6,0,60
GLFA10,GLFA30,1.111,28,0,90
GORW20,GORW30,0.6,20,0,120
INNE1Q,INNE30,0.89,27.87,0,60
INNE1T,INNE30,0.5,25,0,90
KEIT10,KEIT2Q,0.1,8.96,0,240
KEIT10,KEIT2R,0.24,8.95,0,240
KEIT10,KEIT31,0.54,27.778,0,90
KEIT10,KEIT31,0.54,27.778,0,90
KIIN10,KIIN30,1.04,28,0,45
KIIN10,KIIN30,1.04,28,0,45
KILO10,KILO30,0.88,27.78,0,45
KINT10,KINT21,0.31,10.21,0,240
KINT10,KINT22,0.31,10.24,0,240
KINT10,KINT22,0.3,12.17,0,120
KINT10,KINT30,1.04,27.65,0,60
KINT10,KINT30,0.78,25,0,60
LAIR1Q,LAIR30,1.33,22,0,75
LOCN1Q,LOCN30,2.857,45.714,0,35
LUNA1Q,LUNA30,0.54,27.778,0,90
LUNA1R,LUNA30,0.54,27.778,0,90
LYND1Q,LYND30,0.78,24.3,0,60
LYND1R,LYND30,0.78,24.73,0,60
MACD1Q,MACD30,1.1,27.7,0,45
MILC1R,MILC30,0.78,24.83,0,60
MILC1S,MILC30,0.88,28.13,0,60
MILW1Q,MILW30,0.75,24.9,0,90
MYBS1Q,MYBS30,0.895,23.917,0,60
MYBS1R,MYBS30,1.99,32.87,0,30
MYBS1R,MYBS30,1.636,33.73,0,30
NAIR1Q,NAIR30,1.06,28.6,0,60
NAIR1R,NAIR30,1.05,28.6,0,60
ORRI1Q,ORRI30,0.5,18,0,60
PEHE11,PEHE28,0.23,8.9,0,240
PEHE11,PEHE2Q,0.3,9.97,0,240
PEHE11,PEHE2R,0.23,8.9,0,240
PEHE11,PEHE91,4.04,66.7,0,18
PEHE11,PEHE92,4.04,66.7,0,18
PEHE11,PEHS50,2.58,42.33,0,15
PEHE1Q,PEHE51,1.26,32.4,0,50
PEHE1R,PEHE52,1.24,32.6,0,50
PEHG1Q,PEHG30,1.05,28.53,0,45
PEHG1R,PEHG30,1.05,28.4,0,45
PERS1Q,PERS2Q,0.22,8.91,0,240
PERS1Q,PERS30,0.5,25,0,90
PERS1R,PERS2R,0.22,8.87,0,240
PERS1R,PERS30,0.5,25,0,90
PORA1Q,PORA30,1.8,29.87,0,30
PORA1R,PORA30,1.8,29.87,0,30
REDM1Q,REDM30,0.91,27,0,60
REDM1R,REDM30,0.9,27.83,0,60
SFEG1Q,SFEG50,2.28,93.87,0,30
SFEG1R,SFEG50,2.28,92.8,0,30
SFEM1Q,SFEM51,1.8,41.19,0,27
SFEM1R,SFEM52,1.8,41.19,0,27
STRB20,STRB3W,0.5,20,0,75
STRI1Q,STRI30,1.04,27.73,0,45
STRI1R,STRI30,1.04,27.73,0,45
TARL1Q,TARL30,2.42,41,0,30
TARL1R,TARL30,2.13,38.53,0,30
TAYN1Q,TAYN30,1.8,28,0,90
TAYN1R,TAYN30,1.8,28,0,90
TEAL10,TEAL21,0.41,11.78,0,180
TEAL10,TEAL22,0.28,11.73,0,180
TEAL10,TEAL22,0.41,11.89,0,180
THSO1Q,THSO30,0.87,29.03,0,60
THSO1R,THSO30,0.733,23.37,0,60
WIOW1Q,WIOW30,0.88,24.5,0,60
WIOW1R,WIOW30,0.88,24.5,0,60
WOHI1Q,WOHI30,0.62,27.24,0,90
WOHI1R,WOHI30,0.61,27.31,0,90
