"Site Name","Site Code","Voltage (kV)","Demand Tariff Zone","Generation Tariff Zone","LV Shunt Susceptance"
Auchencorth,AUCO,33,2,7,0
Auchencorth,AUCO,132,2,7,0
Barmoor,BARM,33,2,7,0
Dersalloch,DERS,33,2,7,0
Dersalloch,DERS,132,2,7,0
"Drone Hill",DRHI,33,2,7,0
Earlsburn,EARB,33,2,6,0
"Gretna Green",GRNA,132,2,7,0
"Gretna Green",GRNA,400,2,7,0
Harburn,HARB,132,2,7,0
Harburn,HARB,275,2,7,0
"Harrows Law",HLAW,33,2,7,0
"Harrows Law",HLAW,132,2,7,0
"Junction B",JUNV,132,2,7,0
"Aikengall Wind Farm",AIKE,33,2,7,0
Andershaw,ANDE,33,2,7,0
Andershaw,ANDE,132,2,7,0
Arecleoch,AREC,33,2,7,0
Arecleoch,AREC,132,2,7,0
Auchencrosh,AUCH,275,2,8,0
Auchenwynd,AUCW,132,2,7,0
Ayr,AYRR,33,2,7,0
Ayr,AYRR,275,2,7,0
Ayr,AYRR,275,2,7,0
Bainsford,BAIN,33,2,6,0
Bainsford,BAIN,132,2,6,0
Bathgate,BAGA,33,2,6,0
Bathgate,BAGA,132,2,6,0
Bathgate,BAGA,132,2,6,0
Berwick,BERW,33,2,7,0
Berwick,BERW,132,2,7,0
Berwick,BERW,132,2,7,0
"Black Law",BLLA,33,2,7,0
"Black Law",BLLA,33,2,7,0
"Black Law",BLLA,132,2,7,0
Bonnybridge,BONN,33,2,6,0
Bonnybridge,BONN,132,2,6,0
Bonnybridge,BONN,275,2,6,0
Bonnybridge,BONB,275,2,6,0
Bonnybridge,BONB,400,2,6,0
Braehead,BRAE,132,2,5,0
"Braehead Park",BRAP,33,2,5,0
"Braehead Park",BRAP,132,2,5,0
"Braehead Park",BRAP,132,2,5,0
Broxburn,BROX,33,2,7,0
Broxburn,BROX,132,2,7,0
Broxburn,BROX,132,2,7,0
Busby,BUSB,275,2,7,0
Carntyne,CATY,33,2,6,0
Carntyne,CATY,132,2,6,0
Carsfad,CAFA,132,2,7,0
Chapelcross,CHAP,33,2,7,0
Chapelcross,CHAP,132,2,7,0
"Charlotte Street",CHAS,33,2,6,0
"Charlotte Street",CHAS,275,2,6,0
Clyde,CLYD,33,2,7,0
Clyde,CLYD,275,2,7,0
"Clyde's Mill",CLYM,33,2,6,0
"Clyde's Mill",CLYM,275,2,6,0
Coalburn,COAL,132,2,7,0
Coalburn,COAL,400,2,7,0
Coatbridge,COAT,33,2,7,0
Coatbridge,COAT,275,2,7,0
Coatbridge,COAT,275,2,7,0
Cockenzie,COCK,33,2,7,0
Cockenzie,COCK,275,2,7,0
Cockenzie,COCK,400,2,7,0
Cockenzie,COCK,400,2,7,0
Coylton,COYL,33,2,7,0
Coylton,COYL,132,2,7,0
Coylton,COYL,275,2,7,0
"Coylton Tee",COYT,132,2,7,0
"Coylton West",COYW,275,2,7,0
"Coylton West",COYW,275,2,7,0
Crookston,CROO,33,2,7,0
Crookston,CROO,33,2,7,0
Crookston,CROO,132,2,7,0
Crookston,CROO,132,2,7,0
Cruachan,CRUA,275,1,5,0
Cruachan,CRUA,275,1,5,0
Cruachan,CRUA,275,1,5,0
Cruachan,CRUA,275,1,5,0
Cumbernauld,CUMB,33,2,6,0
Cumbernauld,CUMB,132,2,6,0
Cupar,CUPA,33,2,6,0
Cupar,CUPA,132,2,6,0
Currie,CURR,132,2,7,0
Currie,CURR,275,2,7,0
Dalmally,DALL,275,1,5,0
Dalmarnock,DALM,132,2,5,0
Dalmarnock,DALM,275,2,5,0
"Denny North",DENN,132,2,6,0
"Denny North",DENN,275,2,6,0
"Denny North",DENN,400,2,6,0
"Devol Moor (Port Galsgow)",DEVM,33,2,5,0
"Devol Moor (Port Galsgow)",DEVM,132,2,5,0
"Devol Moor (Port Galsgow)",DEVM,400,2,5,0
Devonside,DEVO,33,2,6,0
Devonside,DEVO,132,2,6,0
"Dewar Place",DEWP,33,2,7,0
"Dewar Place",DEWP,275,2,7,0
"Dewar Place",DEWP,275,2,7,0
