"Node 1","Node 2","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Rating (MVA)"
AYRR2Q,AYRR30,0.487,19.25,0,90
AYRR2R,AYRR30,0.433,19.166,0,90
BAGA1Q,BAGA30,0.741,27.044,0,90
BAGA1R,BAGA30,0.741,27.233,0,90
BAIN10,BAIN30,0.783,20.666,0,60
BAIN10,BAIN30,0.774,20.75,0,60
BERW1Q,BERW30,1.066,26.461,0,60
BERW1R,BERW30,0.788,26.555,0,60
BLLA10,BLLA3A,0.352,18.68,0,90
BLLA10,BLLA3B,0.354,18.65,0,90
BONN10,BONN20,0.156,8.946,0,240
BONN10,BONN20,0.156,8.946,0,240
BONN10,BONN30,0.965,21.2,0,60
BONN10,BONN30,0.965,21.2,0,60
BRAP10,BRAP30,0.728,26.666,0,90
BRAP10,BRAP30,0.728,26.666,0,90
BROX1Q,BROX30,0.681,27.777,0,90
BROX1R,BROX30,0.681,27.777,0,90
CATY1Q,CATY30,1.015,25.9,0,60
CATY1R,CATY30,1.016,25.633,0,60
CHAP10,CHAP30,0.389,27.532,0,90
CHAP10,CHAP30,0.384,27.564,0,90
CHAS2Q,CHAS30,0.487,18.166,0,120
CHAS2R,CHAS30,0.487,20.666,0,120
CLYM20,CLYM30,0.492,20,0,120
CLYM20,CLYM30,0.472,20.208,0,120
COAL10,COAL40,0.122,9.808,0,240
COAL10,COAL40,0.126,9.796,0,240
COAT2Q,COAT30,0.265,24.349,0,120
COAT2R,COAT30,0.268,24.315,0,120
COCK20,COCK30,0.481,18.541,0,120
COCK20,COCK30,0.479,18.708,0,120
COCK20,COCK4Q,0.013,1.6,0,1000
COCK20,COCK4R,0.013,1.6,0,1000
COYL10,COYL20,0.172,8.667,0,120
COYL10,COYL20,0.345,12.916,0,120
COYL10,COYL30,0.994,20.833,0,60
COYL10,COYL30,0.922,21.7,0,60
CROO1Q,CROO31,0.931,22,0,60
CROO1Q,CROO32,0.931,22,0,60
CROO1R,CROO31,0.931,19.966,0,60
CROO1R,CROO32,1.091,26.653,0,60
CRYR10,CRYR31,0.438,13.3,0,220
CRYR10,CRYR40,0.167,8.333,0,240
CUMB1Q,CUMB30,0.741,29.333,0,90
CUMB1R,CUMB30,0.741,27.111,0,90
CUPA1Q,CUPA30,0.939,19.9,0,60
CUPA1R,CUPA30,0.942,19.9,0,60
CURR10,CURR20,0.115,8.45,0,240
CURR10,CURR20,0.12,8.475,0,240
CURR10,CURR50,2.943,79,0,30
CURR10,CURR50,2.943,79,0,30
DALM10,DALM2Q,0.165,8.75,0,240
DALM10,DALM2R,0.165,8.75,0,240
DEVM10,DEVM30,1.088,20,0,60
DEVM10,DEVM30,1.087,20.033,0,60
DEVM10,DEVM40,0.133,8.375,0,240
DEVM10,DEVM40,0.134,8.375,0,240
DEVO10,DEVO30,0.74,29.667,0,90
DEVO10,DEVO30,0.728,29.444,0,90
DEWP2Q,DEWP30,0.442,19.291,0,120
DEWP2R,DEWP30,0.494,19.291,0,120
DRCR1Q,DRCR30,0.527,27.333,0,90
DRCR1R,DRCR30,0.523,27.333,0,90
DRUM2Q,DRUM30,0.503,18.916,0,120
DRUM2R,DRUM30,0.442,19.291,0,120
DUMF10,DUMF31,0.367,11.728,0,60
DUMF10,DUMF31,0.375,11.794,0,60
DUMF10,DUMF32,0.766,20.566,0,60
DUMF10,DUMF50,2.898,68.333,0,20
DUMF10,DUMF50,2.943,79,0,20
DUNB1Q,DUNB30,0.807,21.5,0,60
DUNB1R,DUNB30,0.807,21.5,0,60
DUNE10,DUNE30,0.25,20,0,90
DUNF1Q,DUNF30,0.738,24.722,0,90
DUNF1R,DUNF30,0.738,24.722,0,90
ECCL10,ECCL30,1.054,26.883,0,60
ECCL10,ECCL30,1.04,26.732,0,60
ECCL10,ECCL40,0.112,9.801,0,240
ECCL10,ECCL40,0.113,9.803,0,240
EERH20,EERH30,0.487,18.75,0,120
EERH20,EERH30,0.306,18.072,0,120
EKIL2S,EKIL30,0.303,17.922,0,120
EKIL2T,EKIL30,0.303,17.844,0,120
EKIS20,EKIS30,0.495,24.333,0,120
EKIS20,EKIS30,0.477,24.25,0,120
ELDE1Q,ELDE30,0.914,19.833,0,60
